city,window_start,window_end,reported_mm,station,source,url,accessed,notes
la_serena,2026-07-16,2026-07-18,59.8,"La Florida, La Serena Ad. (DMC 290004)",La Tercera (DMC figures),https://www.latercera.com/nacional/noticia/sistema-frontal-en-region-de-coquimbo-deja-hasta-214-mm-de-lluvia-la-serena-supera-en-un-38-el-promedio-anual/,2026-08-12,"published 19 Jul; ""durante el evento"" up to that morning, so the window is 16-18 plus part of 19"
vicuna,2026-07-16,2026-07-18,214.2,El Tololo (DMC 300034),La Tercera (DMC figures),https://www.latercera.com/nacional/noticia/sistema-frontal-en-region-de-coquimbo-deja-hasta-214-mm-de-lluvia-la-serena-supera-en-un-38-el-promedio-anual/,2026-08-12,"same article and window; Cerro Tololo is in the Andacollo/Vicuna interior, matched to vicuna in stations_metadata_dmc.csv"
ovalle,2026-07-16,2026-07-18,137.5,"Monte Patria, Municipalidad (DMC 300047)",La Tercera (DMC figures),https://www.latercera.com/nacional/noticia/sistema-frontal-en-region-de-coquimbo-deja-hasta-214-mm-de-lluvia-la-serena-supera-en-un-38-el-promedio-anual/,2026-08-12,"article says ""Monte Patria"" without naming the station; only one DMC gauge there"
santiago,2026-07-16,2026-07-17,101.5,"Quinta Normal, Santiago (DMC 330020)","Wikipedia ES, citing DMC",https://es.wikipedia.org/wiki/Temporal_de_Chile_de_2026,2026-08-12,48-hour total quoted as the second highest July figure in 110+ years
valparaiso,2026-07-16,2026-07-17,173.6,"Rodelillo, Ad. (DMC 330007)","Wikipedia ES, citing DMC",https://es.wikipedia.org/wiki/Temporal_de_Chile_de_2026,2026-08-12,48-hour total
la_serena,2026-07-01,2026-07-31,200.2,"La Florida, La Serena Ad. (DMC 290004)",Emol (DMC/DGAC balance),https://www.emol.com/noticias/Nacional/2026/08/01/1207342/julio-lluvias-record-sistema-historia.html,2026-08-12,"monthly total; reported as the highest July on record since 1954 (previous 176.7 in 1984)"
santiago,2026-07-01,2026-07-31,156.4,"Quinta Normal, Santiago (DMC 330020)",Emol (DMC/DGAC balance),https://www.emol.com/noticias/Nacional/2026/08/01/1207342/julio-lluvias-record-sistema-historia.html,2026-08-12,monthly total; wettest July since 2001
valparaiso,2026-07-01,2026-07-31,327.3,"Rodelillo, Ad. (DMC 330007)",Emol (DMC/DGAC balance),https://www.emol.com/noticias/Nacional/2026/08/01/1207342/julio-lluvias-record-sistema-historia.html,2026-08-12,monthly total
concepcion,2026-07-01,2026-07-31,340.8,"Carriel Sur, Concepcion Ap. (DMC 360019)",Emol (DMC/DGAC balance),https://www.emol.com/noticias/Nacional/2026/08/01/1207342/julio-lluvias-record-sistema-historia.html,2026-08-12,monthly total
valdivia,2026-07-01,2026-07-31,683.3,"Pichoy, Valdivia Ad. (DMC 390006)",Emol (DMC/DGAC balance),https://www.emol.com/noticias/Nacional/2026/08/01/1207342/julio-lluvias-record-sistema-historia.html,2026-08-12,"monthly total; new July record, previous 591.0 in 1978. Our harvest of this station is missing 11 days"
temuco,2026-07-01,2026-07-31,204.2,"Maquehue, Temuco Ad. (DMC 380013)","Wikipedia ES, citing DMC",https://es.wikipedia.org/wiki/Temporal_de_Chile_de_2026,2026-08-12,monthly total
talca,2026-07-01,2026-07-31,317.9,Panguilemo (DMC 350028),"Wikipedia ES, citing DMC",https://es.wikipedia.org/wiki/Temporal_de_Chile_de_2026,2026-08-12,monthly total
