city,role,station_id,station_name,network,lat,lon,elev_m,cell_elev_m,dist_km,delta_elev_m,notes,sensor_id,unit,n_days,n_usable
la_serena,primary,LSC,La Serena [CEAZA],CEAZA-Met,-29.915015,-71.242214,90,29.0,1.3,61.0,,LSCPP,mm,27,24
la_serena,neighbour,CGR,La Serena [Cerro Grande],CEAZA-Met,-29.938475,-71.223505,513,29.0,4.5,484.0,elevation gap +484 m vs the model cell,CGRPP,mm,27,27
la_serena,neighbour,5,La Serena [El Romeral],CEAZA-Met,-29.754064,-71.257442,162,29.0,16.8,133.0,loose match: 17 km from the city,25,mm,27,27
la_serena,neighbour,4,Coquimbo [El Panul],CEAZA-Met,-29.998736,-71.39852,122,29.0,17.8,93.0,loose match: 18 km from the city,15,mm,27,27
la_serena,neighbour,9,Gabriela Mistral,CEAZA-Met,-29.97852,-71.080386,198,29.0,18.2,169.0,loose match: 18 km from the city,65,mm,27,27
la_serena,neighbour,3,Pan de Azúcar,CEAZA-Met,-30.074646,-71.238945,135,29.0,18.9,106.0,loose match: 19 km from the city,5,mm,27,25
coquimbo,neighbour,4,Coquimbo [El Panul],CEAZA-Met,-29.998736,-71.39852,122,25.0,7.7,97.0,,15,mm,27,27
coquimbo,neighbour,LSC,La Serena [CEAZA],CEAZA-Met,-29.915015,-71.242214,90,25.0,10.2,65.0,,LSCPP,mm,27,24
coquimbo,neighbour,CGR,La Serena [Cerro Grande],CEAZA-Met,-29.938475,-71.223505,513,25.0,11.2,488.0,elevation gap +488 m vs the model cell,CGRPP,mm,27,27
coquimbo,neighbour,3,Pan de Azúcar,CEAZA-Met,-30.074646,-71.238945,135,25.0,16.6,110.0,loose match: 17 km from the city,5,mm,27,25
coquimbo,neighbour,5,La Serena [El Romeral],CEAZA-Met,-29.754064,-71.257442,162,25.0,23.5,137.0,loose match: 23 km from the city,25,mm,27,27
coquimbo,neighbour,9,Gabriela Mistral,CEAZA-Met,-29.97852,-71.080386,198,25.0,25.1,173.0,loose match: 25 km from the city,65,mm,27,27
vicuna,primary,6,Vicuña,CEAZA-Met,-30.038318,-70.696553,634,620.0,1.3,14.0,,35,mm,27,27
vicuna,neighbour,ALG,Algarrobal,CEAZA-Met,-29.9988307,-70.587333,800,620.0,12.2,180.0,,ALGPP,mm,27,27
vicuna,neighbour,PYRV,Rivadavia,CEAZA-Met,-29.96173,-70.539081,900,620.0,18.0,280.0,loose match: 18 km from the city,PYRVPP,mm,27,0
vicuna,neighbour,8,Pisco Elqui,CEAZA-Met,-30.129028,-70.494712,1240,620.0,23.2,620.0,loose match: 23 km from the city; elevation gap +620 m vs the model cell,55,mm,27,27
andacollo,primary,ANDA,Andacollo [Collowara],CEAZA-Met,-30.248749,-71.065259,1281,1011.0,2.8,270.0,,ANDAPP,mm,27,27
andacollo,neighbour,LCAR,Las Cardas,CEAZA-Met,-30.251452,-71.256903,282,1011.0,16.7,-729.0,loose match: 17 km from the city; elevation gap -729 m vs the model cell,LCARPP,mm,27,27
