model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm
best_match,1,176,83,11,8,0.5340909090909091,0.8829787234042553,0.08791208791208792,0.8137254901960784,1.0
best_match,2,176,84,10,7,0.5340909090909091,0.8936170212765957,0.07692307692307693,0.8316831683168316,1.0
best_match,3,176,82,12,12,0.5340909090909091,0.8723404255319149,0.1276595744680851,0.7735849056603774,1.0
best_match,4,176,86,8,14,0.5340909090909091,0.9148936170212766,0.14,0.7962962962962963,1.0
best_match,5,176,85,9,24,0.5340909090909091,0.9042553191489362,0.22018348623853212,0.7203389830508474,1.0
best_match,6,176,87,7,23,0.5340909090909091,0.925531914893617,0.20909090909090908,0.7435897435897436,1.0
best_match,7,176,74,20,24,0.5340909090909091,0.7872340425531915,0.24489795918367346,0.6271186440677966,1.0
ecmwf_ifs025,1,175,86,8,6,0.5371428571428571,0.9148936170212766,0.06521739130434782,0.86,1.0
ecmwf_ifs025,2,175,85,9,5,0.5371428571428571,0.9042553191489362,0.05555555555555555,0.8585858585858586,1.0
ecmwf_ifs025,3,175,82,12,10,0.5371428571428571,0.8723404255319149,0.10869565217391304,0.7884615384615384,1.0
ecmwf_ifs025,4,175,84,10,14,0.5371428571428571,0.8936170212765957,0.14285714285714285,0.7777777777777778,1.0
ecmwf_ifs025,5,175,85,9,20,0.5371428571428571,0.9042553191489362,0.19047619047619047,0.7456140350877193,1.0
ecmwf_ifs025,6,175,86,8,23,0.5371428571428571,0.9148936170212766,0.21100917431192662,0.7350427350427351,1.0
ecmwf_ifs025,7,175,78,16,26,0.5371428571428571,0.8297872340425532,0.25,0.65,1.0
gfs_seamless,1,175,72,22,3,0.5371428571428571,0.7659574468085106,0.04,0.7422680412371134,1.0
gfs_seamless,2,175,73,21,6,0.5371428571428571,0.776595744680851,0.0759493670886076,0.73,1.0
gfs_seamless,3,175,75,19,9,0.5371428571428571,0.7978723404255319,0.10714285714285714,0.7281553398058253,1.0
gfs_seamless,4,175,71,23,10,0.5371428571428571,0.7553191489361702,0.12345679012345678,0.6826923076923077,1.0
gfs_seamless,5,175,70,24,6,0.5371428571428571,0.7446808510638298,0.07894736842105263,0.7,1.0
gfs_seamless,6,175,57,37,8,0.5371428571428571,0.6063829787234043,0.12307692307692308,0.5588235294117647,1.0
gfs_seamless,7,175,70,24,13,0.5371428571428571,0.7446808510638298,0.1566265060240964,0.6542056074766355,1.0
icon_seamless,1,175,80,14,5,0.5371428571428571,0.851063829787234,0.058823529411764705,0.8080808080808081,1.0
icon_seamless,2,175,88,6,8,0.5371428571428571,0.9361702127659575,0.08333333333333333,0.8627450980392157,1.0
icon_seamless,3,175,83,11,11,0.5371428571428571,0.8829787234042553,0.11702127659574468,0.7904761904761904,1.0
icon_seamless,4,175,81,13,14,0.5371428571428571,0.8617021276595744,0.14736842105263157,0.75,1.0
icon_seamless,5,175,83,11,23,0.5371428571428571,0.8829787234042553,0.2169811320754717,0.7094017094017094,1.0
icon_seamless,6,175,83,11,34,0.5371428571428571,0.8829787234042553,0.2905982905982906,0.6484375,1.0
best_match,1,176,56,3,5,0.3352272727272727,0.9491525423728814,0.08196721311475409,0.875,10.0
best_match,2,176,54,5,9,0.3352272727272727,0.9152542372881356,0.14285714285714285,0.7941176470588235,10.0
best_match,3,176,53,6,9,0.3352272727272727,0.8983050847457628,0.14516129032258066,0.7794117647058824,10.0
best_match,4,176,50,9,16,0.3352272727272727,0.847457627118644,0.24242424242424243,0.6666666666666666,10.0
best_match,5,176,42,17,12,0.3352272727272727,0.711864406779661,0.2222222222222222,0.5915492957746479,10.0
best_match,6,176,47,12,31,0.3352272727272727,0.7966101694915254,0.3974358974358974,0.5222222222222223,10.0
best_match,7,176,38,21,11,0.3352272727272727,0.6440677966101694,0.22448979591836735,0.5428571428571428,10.0
ecmwf_ifs025,1,175,56,3,5,0.33714285714285713,0.9491525423728814,0.08196721311475409,0.875,10.0
ecmwf_ifs025,2,175,53,6,9,0.33714285714285713,0.8983050847457628,0.14516129032258066,0.7794117647058824,10.0
ecmwf_ifs025,3,175,55,4,11,0.33714285714285713,0.9322033898305084,0.16666666666666666,0.7857142857142857,10.0
ecmwf_ifs025,4,175,48,11,14,0.33714285714285713,0.8135593220338984,0.22580645161290322,0.6575342465753424,10.0
ecmwf_ifs025,5,175,44,15,12,0.33714285714285713,0.7457627118644068,0.21428571428571427,0.6197183098591549,10.0
ecmwf_ifs025,6,175,48,11,31,0.33714285714285713,0.8135593220338984,0.3924050632911392,0.5333333333333333,10.0
ecmwf_ifs025,7,175,37,22,11,0.33714285714285713,0.6271186440677966,0.22916666666666666,0.5285714285714286,10.0
gfs_seamless,1,175,48,11,3,0.33714285714285713,0.8135593220338984,0.058823529411764705,0.7741935483870968,10.0
gfs_seamless,2,175,48,11,9,0.33714285714285713,0.8135593220338984,0.15789473684210525,0.7058823529411765,10.0
gfs_seamless,3,175,45,14,9,0.33714285714285713,0.7627118644067796,0.16666666666666666,0.6617647058823529,10.0
gfs_seamless,4,175,37,22,6,0.33714285714285713,0.6271186440677966,0.13953488372093023,0.5692307692307692,10.0
gfs_seamless,5,175,25,34,2,0.33714285714285713,0.423728813559322,0.07407407407407407,0.4098360655737705,10.0
gfs_seamless,6,175,20,39,3,0.33714285714285713,0.3389830508474576,0.13043478260869565,0.3225806451612903,10.0
gfs_seamless,7,175,22,37,9,0.33714285714285713,0.3728813559322034,0.2903225806451613,0.3235294117647059,10.0
icon_seamless,1,175,50,9,3,0.33714285714285713,0.847457627118644,0.05660377358490566,0.8064516129032258,10.0
icon_seamless,2,175,47,12,8,0.33714285714285713,0.7966101694915254,0.14545454545454545,0.7014925373134329,10.0
icon_seamless,3,175,44,15,6,0.33714285714285713,0.7457627118644068,0.12,0.676923076923077,10.0
icon_seamless,4,175,44,15,9,0.33714285714285713,0.7457627118644068,0.16981132075471697,0.6470588235294118,10.0
icon_seamless,5,175,36,23,19,0.33714285714285713,0.6101694915254238,0.34545454545454546,0.46153846153846156,10.0
icon_seamless,6,175,39,20,26,0.33714285714285713,0.6610169491525424,0.4,0.4588235294117647,10.0
best_match,1,176,33,7,4,0.22727272727272727,0.825,0.10810810810810811,0.75,20.0
best_match,2,176,34,6,9,0.22727272727272727,0.85,0.20930232558139536,0.6938775510204082,20.0
best_match,3,176,28,12,11,0.22727272727272727,0.7,0.28205128205128205,0.5490196078431373,20.0
best_match,4,176,27,13,15,0.22727272727272727,0.675,0.35714285714285715,0.4909090909090909,20.0
best_match,5,176,24,16,10,0.22727272727272727,0.6,0.29411764705882354,0.48,20.0
best_match,6,176,24,16,16,0.22727272727272727,0.6,0.4,0.42857142857142855,20.0
best_match,7,176,22,18,7,0.22727272727272727,0.55,0.2413793103448276,0.46808510638297873,20.0
ecmwf_ifs025,1,175,35,5,9,0.22857142857142856,0.875,0.20454545454545456,0.7142857142857143,20.0
ecmwf_ifs025,2,175,36,4,9,0.22857142857142856,0.9,0.2,0.7346938775510204,20.0
ecmwf_ifs025,3,175,30,10,12,0.22857142857142856,0.75,0.2857142857142857,0.5769230769230769,20.0
ecmwf_ifs025,4,175,25,15,15,0.22857142857142856,0.625,0.375,0.45454545454545453,20.0
ecmwf_ifs025,5,175,24,16,11,0.22857142857142856,0.6,0.3142857142857143,0.47058823529411764,20.0
ecmwf_ifs025,6,175,25,15,26,0.22857142857142856,0.625,0.5098039215686274,0.3787878787878788,20.0
ecmwf_ifs025,7,175,22,18,9,0.22857142857142856,0.55,0.2903225806451613,0.4489795918367347,20.0
gfs_seamless,1,175,31,9,6,0.22857142857142856,0.775,0.16216216216216217,0.6739130434782609,20.0
gfs_seamless,2,175,31,9,11,0.22857142857142856,0.775,0.2619047619047619,0.6078431372549019,20.0
gfs_seamless,3,175,31,9,9,0.22857142857142856,0.775,0.225,0.6326530612244898,20.0
gfs_seamless,4,175,25,15,7,0.22857142857142856,0.625,0.21875,0.5319148936170213,20.0
gfs_seamless,5,175,8,32,2,0.22857142857142856,0.2,0.2,0.19047619047619047,20.0
gfs_seamless,6,175,3,37,1,0.22857142857142856,0.075,0.25,0.07317073170731707,20.0
gfs_seamless,7,175,6,34,3,0.22857142857142856,0.15,0.3333333333333333,0.13953488372093023,20.0
icon_seamless,1,175,30,10,5,0.22857142857142856,0.75,0.14285714285714285,0.6666666666666666,20.0
icon_seamless,2,175,29,11,8,0.22857142857142856,0.725,0.21621621621621623,0.6041666666666666,20.0
icon_seamless,3,175,26,14,8,0.22857142857142856,0.65,0.23529411764705882,0.5416666666666666,20.0
icon_seamless,4,175,23,17,12,0.22857142857142856,0.575,0.34285714285714286,0.4423076923076923,20.0
icon_seamless,5,175,23,17,13,0.22857142857142856,0.575,0.3611111111111111,0.4339622641509434,20.0
icon_seamless,6,175,27,13,21,0.22857142857142856,0.675,0.4375,0.4426229508196721,20.0
