prob,n,obs_freq,threshold_mm
0.0,369,0.05962059620596206,1.0
0.3333333333333333,124,0.3548387096774194,1.0
0.6666666666666666,156,0.7307692307692307,1.0
1.0,401,0.9576059850374065,1.0
0.0,590,0.04576271186440678,10.0
0.3333333333333333,138,0.34057971014492755,10.0
0.6666666666666666,132,0.7575757575757576,10.0
1.0,190,0.9473684210526315,10.0
0.0,719,0.055632823365785816,20.0
0.3333333333333333,124,0.31451612903225806,20.0
0.6666666666666666,98,0.6122448979591837,20.0
1.0,109,0.926605504587156,20.0
