city,valid_date,model,lead_days,precip_fcst_mm,gust_fcst_kmh,precip_obs_mm,gust_obs_kmh
chillan,2026-07-04,best_match,1,3.6000000000000005,14.4,0.0,16.2
chillan,2026-07-04,best_match,2,0.1,11.5,0.0,16.2
chillan,2026-07-04,best_match,3,0.7000000000000001,11.2,0.0,16.2
chillan,2026-07-04,best_match,4,0.9,19.8,0.0,16.2
chillan,2026-07-04,best_match,5,6.5,17.6,0.0,16.2
chillan,2026-07-04,best_match,6,7.2,18.0,0.0,16.2
chillan,2026-07-04,best_match,7,2.1,17.6,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,1,0.8999999999999999,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,2,0.30000000000000004,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,3,1.5,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,4,1.5,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,5,7.5,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,6,9.600000000000001,,0.0,16.2
chillan,2026-07-04,ecmwf_ifs025,7,3.3000000000000003,,0.0,16.2
chillan,2026-07-04,gfs_seamless,1,0.5,11.9,0.0,16.2
chillan,2026-07-04,gfs_seamless,2,0.30000000000000004,20.5,0.0,16.2
chillan,2026-07-04,gfs_seamless,3,0.2,23.8,0.0,16.2
chillan,2026-07-04,gfs_seamless,4,0.0,37.4,0.0,16.2
chillan,2026-07-04,gfs_seamless,5,0.7000000000000001,42.8,0.0,16.2
chillan,2026-07-04,gfs_seamless,6,0.0,15.5,0.0,16.2
chillan,2026-07-04,gfs_seamless,7,0.0,17.6,0.0,16.2
chillan,2026-07-04,icon_seamless,1,1.3,14.4,0.0,16.2
chillan,2026-07-04,icon_seamless,2,1.1,11.5,0.0,16.2
chillan,2026-07-04,icon_seamless,3,2.0,11.2,0.0,16.2
chillan,2026-07-04,icon_seamless,4,2.6,19.8,0.0,16.2
chillan,2026-07-04,icon_seamless,5,3.9,17.6,0.0,16.2
