threshold_mm,lead_days,n,base_rate,brier,brier_climatology,bss
1.0,1,300,0.48,0.044814814814814814,0.2496,0.8204534662867996
1.0,2,300,0.48,0.04962962962962963,0.2496,0.8011633428300096
1.0,3,300,0.48,0.059629629629629644,0.2496,0.7610992402659069
1.0,4,300,0.48,0.07,0.2496,0.7195512820512819
1.0,5,300,0.48,0.07925925925925927,0.2496,0.6824548907882241
1.0,6,300,0.48,0.09222222222222223,0.2496,0.630519943019943
10.0,1,300,0.34,0.031481481481481485,0.2244,0.8597081930415263
10.0,2,300,0.34,0.054444444444444455,0.2244,0.7573776985541691
10.0,3,300,0.34,0.053333333333333344,0.2244,0.7623291740938799
10.0,4,300,0.34,0.07148148148148149,0.2244,0.6814550736119362
10.0,5,300,0.34,0.09185185185185185,0.2244,0.5906780220505711
10.0,6,300,0.34,0.10666666666666667,0.2244,0.5246583481877599
20.0,1,300,0.27666666666666667,0.04407407407407408,0.20012222222222223,0.7797642181629745
20.0,2,300,0.27666666666666667,0.054444444444444455,0.20012222222222223,0.7279440342013214
20.0,3,300,0.27666666666666667,0.06259259259259259,0.20012222222222223,0.6872281753743084
20.0,4,300,0.27666666666666667,0.09407407407407407,0.20012222222222223,0.5299169026335757
20.0,5,300,0.27666666666666667,0.09740740740740741,0.20012222222222223,0.5132604149316158
20.0,6,300,0.27666666666666667,0.1292592592592593,0.20012222222222223,0.3540984213351098
