window,city,n_days,station_mm,n_gauges,grid_mm,era5_mm,best_match_lead1_mm,best_match_lead5_mm,ecmwf_ifs025_lead1_mm,ecmwf_ifs025_lead5_mm,gfs_seamless_lead1_mm,gfs_seamless_lead5_mm,icon_seamless_lead1_mm,icon_seamless_lead5_mm,grid_over_station,era5_over_station,gauge_elev_m,cell_elev_m,gauge_dist_km,excess_pc,log_ratio,lat,coastal
2026-07-16..2026-07-21,andacollo,6,255.0583333333333,6,356.2,383.0,289.3999999999999,252.0,301.8,227.1,200.9,74.0,358.3,256.3,1.3965432744143498,1.5016172770934757,786.6666666666666,1011.0,20.833333333333332,39.65432744143498,0.3340000936883611,-30.23,False
2026-07-16..2026-07-21,chillan,6,78.9,2,130.6,165.3,134.0,108.2,149.39999999999998,123.9,115.8,77.0,85.79999999999998,108.7,1.6552598225602029,2.0950570342205324,135.0,121.0,10.9,65.52598225602028,0.5039579889905021,-36.607,False
2026-07-16..2026-07-21,combarbala,6,303.95,2,353.90000000000003,420.5,325.5,333.20000000000005,338.7,331.5,320.6,122.4,303.0,285.90000000000003,1.164336239513078,1.383451225530515,1036.0,879.0,1.85,16.43362395130781,0.15215117315668641,-31.178,False
2026-07-16..2026-07-21,concepcion,6,101.8,1,94.5,92.3,91.0,76.6,96.9,84.30000000000001,98.7,89.80000000000001,70.3,107.0,0.9282907662082516,0.906679764243615,8.0,22.0,5.4,-7.170923379174843,-0.07441026961672519,-36.827,True
2026-07-16..2026-07-21,coquimbo,6,182.18528571428573,7,297.69999999999993,291.7,264.5,210.8,322.5,241.2,131.5,58.3,216.8,143.6,1.634050734848431,1.60111722994722,195.14285714285714,25.0,15.4,63.4050734848431,0.49106204543463,-29.953,True
2026-07-16..2026-07-21,curico,6,171.8,1,194.4,166.79999999999998,185.20000000000005,223.2,202.8,239.1,175.0,147.7,170.70000000000002,160.2,1.1315483119906868,0.9708963911525028,229.0,209.0,2.5,13.154831199068685,0.1235868824761837,-34.983,False
2026-07-16..2026-07-21,illapel,6,265.3333333333333,3,284.79999999999995,311.4,220.1,260.9,259.8,282.6,213.9,66.7,135.60000000000002,127.7,1.0733668341708542,1.1736180904522613,305.0,312.0,15.066666666666668,7.336683417085421,0.07080028236154733,-31.633,False
2026-07-16..2026-07-21,la_serena,6,182.18528571428573,7,310.2,291.7,327.40000000000003,211.1,322.5,241.2,131.5,58.3,216.8,143.6,1.7026622033926213,1.60111722994722,195.14285714285714,29.0,11.671428571428573,70.26622033926213,0.5321930281553379,-29.905,True
2026-07-16..2026-07-21,los_vilos,6,162.00000000000003,2,287.50000000000006,264.29999999999995,265.7,264.1,285.29999999999995,282.0,208.1,85.1,156.4,205.4,1.7746913580246917,1.6314814814814809,18.5,12.0,11.95,77.46913580246917,0.5736265250050212,-31.915,True
2026-07-16..2026-07-21,monte_patria,6,259.5753,5,362.7000000000001,403.4,368.4,311.4,396.0,313.8,230.5,83.3,285.7,233.3,1.3972824070703185,1.554076986523756,583.0,428.0,16.240000000000002,39.728240707031844,0.3345292123646704,-30.695,False
