model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
best_match,1,441,194,15,9,0.47392290249433106,0.9282296650717703,0.04433497536945813,0.8899082568807339,1.0,grid
best_match,2,441,188,21,11,0.47392290249433106,0.8995215311004785,0.05527638190954774,0.8545454545454545,1.0,grid
best_match,3,441,188,21,20,0.47392290249433106,0.8995215311004785,0.09615384615384616,0.8209606986899564,1.0,grid
best_match,4,441,192,17,26,0.47392290249433106,0.9186602870813397,0.11926605504587157,0.8170212765957446,1.0,grid
best_match,5,441,190,19,40,0.47392290249433106,0.9090909090909091,0.17391304347826086,0.7630522088353414,1.0,grid
best_match,6,441,190,19,47,0.47392290249433106,0.9090909090909091,0.19831223628691982,0.7421875,1.0,grid
best_match,7,441,178,31,62,0.47392290249433106,0.8516746411483254,0.25833333333333336,0.6568265682656826,1.0,grid
ecmwf_ifs025,1,441,195,14,10,0.47392290249433106,0.9330143540669856,0.04878048780487805,0.8904109589041096,1.0,grid
ecmwf_ifs025,2,441,189,20,8,0.47392290249433106,0.9043062200956937,0.04060913705583756,0.8709677419354839,1.0,grid
ecmwf_ifs025,3,441,189,20,18,0.47392290249433106,0.9043062200956937,0.08695652173913043,0.8325991189427313,1.0,grid
ecmwf_ifs025,4,441,189,20,25,0.47392290249433106,0.9043062200956937,0.11682242990654206,0.8076923076923077,1.0,grid
ecmwf_ifs025,5,441,192,17,38,0.47392290249433106,0.9186602870813397,0.16521739130434782,0.7773279352226721,1.0,grid
ecmwf_ifs025,6,441,190,19,50,0.47392290249433106,0.9090909090909091,0.20833333333333334,0.7335907335907336,1.0,grid
ecmwf_ifs025,7,441,184,25,61,0.47392290249433106,0.8803827751196173,0.24897959183673468,0.6814814814814815,1.0,grid
gfs_seamless,1,441,173,36,7,0.47392290249433106,0.8277511961722488,0.03888888888888889,0.8009259259259259,1.0,grid
gfs_seamless,2,441,176,33,10,0.47392290249433106,0.8421052631578947,0.053763440860215055,0.8036529680365296,1.0,grid
gfs_seamless,3,441,176,33,12,0.47392290249433106,0.8421052631578947,0.06382978723404255,0.7963800904977375,1.0,grid
gfs_seamless,4,441,169,40,16,0.47392290249433106,0.8086124401913876,0.08648648648648649,0.7511111111111111,1.0,grid
gfs_seamless,5,441,155,54,19,0.47392290249433106,0.7416267942583732,0.10919540229885058,0.6798245614035088,1.0,grid
gfs_seamless,6,441,155,54,30,0.47392290249433106,0.7416267942583732,0.16216216216216217,0.6485355648535565,1.0,grid
gfs_seamless,7,441,154,55,33,0.47392290249433106,0.7368421052631579,0.17647058823529413,0.6363636363636364,1.0,grid
icon_seamless,1,441,181,28,6,0.47392290249433106,0.8660287081339713,0.03208556149732621,0.8418604651162791,1.0,grid
icon_seamless,2,441,188,21,11,0.47392290249433106,0.8995215311004785,0.05527638190954774,0.8545454545454545,1.0,grid
icon_seamless,3,441,190,19,16,0.47392290249433106,0.9090909090909091,0.07766990291262135,0.8444444444444444,1.0,grid
icon_seamless,4,441,187,22,26,0.47392290249433106,0.8947368421052632,0.12206572769953052,0.7957446808510639,1.0,grid
icon_seamless,5,441,190,19,46,0.47392290249433106,0.9090909090909091,0.19491525423728814,0.7450980392156863,1.0,grid
icon_seamless,6,441,194,15,66,0.47392290249433106,0.9282296650717703,0.25384615384615383,0.7054545454545454,1.0,grid
best_match,1,441,137,14,10,0.3424036281179138,0.9072847682119205,0.06802721088435375,0.8509316770186336,10.0,grid
best_match,2,441,137,14,12,0.3424036281179138,0.9072847682119205,0.08053691275167785,0.8404907975460123,10.0,grid
best_match,3,441,137,14,16,0.3424036281179138,0.9072847682119205,0.10457516339869281,0.8203592814371258,10.0,grid
best_match,4,441,130,21,23,0.3424036281179138,0.8609271523178808,0.1503267973856209,0.7471264367816092,10.0,grid
best_match,5,441,121,30,24,0.3424036281179138,0.8013245033112583,0.16551724137931034,0.6914285714285714,10.0,grid
best_match,6,441,118,33,50,0.3424036281179138,0.7814569536423841,0.2976190476190476,0.5870646766169154,10.0,grid
best_match,7,441,115,36,48,0.3424036281179138,0.7615894039735099,0.294478527607362,0.5778894472361809,10.0,grid
ecmwf_ifs025,1,441,141,10,10,0.3424036281179138,0.9337748344370861,0.06622516556291391,0.8757763975155279,10.0,grid
ecmwf_ifs025,2,441,135,16,13,0.3424036281179138,0.8940397350993378,0.08783783783783784,0.823170731707317,10.0,grid
ecmwf_ifs025,3,441,136,15,17,0.3424036281179138,0.9006622516556292,0.1111111111111111,0.8095238095238095,10.0,grid
ecmwf_ifs025,4,441,122,29,22,0.3424036281179138,0.8079470198675497,0.1527777777777778,0.7052023121387283,10.0,grid
ecmwf_ifs025,5,441,128,23,26,0.3424036281179138,0.847682119205298,0.16883116883116883,0.7231638418079096,10.0,grid
ecmwf_ifs025,6,441,122,29,51,0.3424036281179138,0.8079470198675497,0.2947976878612717,0.6039603960396039,10.0,grid
ecmwf_ifs025,7,441,113,38,47,0.3424036281179138,0.7483443708609272,0.29375,0.5707070707070707,10.0,grid
gfs_seamless,1,441,127,24,7,0.3424036281179138,0.8410596026490066,0.05223880597014925,0.8037974683544303,10.0,grid
gfs_seamless,2,441,111,40,12,0.3424036281179138,0.7350993377483444,0.0975609756097561,0.6809815950920245,10.0,grid
gfs_seamless,3,441,116,35,14,0.3424036281179138,0.7682119205298014,0.1076923076923077,0.703030303030303,10.0,grid
gfs_seamless,4,441,107,44,12,0.3424036281179138,0.7086092715231788,0.10084033613445378,0.656441717791411,10.0,grid
gfs_seamless,5,441,82,69,10,0.3424036281179138,0.543046357615894,0.10869565217391304,0.5093167701863354,10.0,grid
