model,lead_days,n,precip_mae_mm,precip_bias_mm,precip_rmse_mm,gust_mae_kmh,truth
best_match,1,441.0,3.7850340136054417,-1.1886621315192742,8.114618258332184,8.203628117913832,grid
best_match,2,441.0,3.9292517006802727,-0.7886621315192746,8.295311901699975,9.062585034013606,grid
best_match,3,441.0,5.644897959183674,-0.8480725623582768,11.59755428123199,9.694331065759636,grid
best_match,4,441.0,7.0895691609977325,-1.2333333333333334,14.109366310613487,13.21904761904762,grid
best_match,5,441.0,7.100453514739228,-1.6823129251700677,13.175464209767227,11.596371882086167,grid
best_match,6,441.0,9.86077097505669,-1.1764172335600906,18.301100917283105,13.792063492063495,grid
best_match,7,441.0,10.621541950113379,-1.6360544217687074,18.697905711724378,14.760544217687073,grid
ecmwf_ifs025,1,441.0,3.6276643990929704,-0.14965986394557815,7.39809989701192,,grid
ecmwf_ifs025,2,441.0,4.11859410430839,-0.4741496598639455,8.531692284806713,,grid
ecmwf_ifs025,3,441.0,5.367120181405895,-0.3448979591836733,11.03598833583802,,grid
ecmwf_ifs025,4,441.0,7.405895691609977,-1.0108843537414964,15.045307236519626,,grid
ecmwf_ifs025,5,441.0,7.25873015873016,-0.7761904761904763,13.782251394991285,,grid
ecmwf_ifs025,6,441.0,10.15736961451247,-0.7387755102040813,18.747790194799187,,grid
ecmwf_ifs025,7,441.0,10.502947845804988,-1.263945578231292,18.447525628497143,,grid
gfs_seamless,1,441.0,6.080725623582766,-2.5455782312925166,13.135619124956325,11.700000000000001,grid
gfs_seamless,2,441.0,6.240362811791384,-3.0149659863945577,13.217522555090689,12.2984126984127,grid
gfs_seamless,3,441.0,6.75578231292517,-2.0528344671201815,13.587485071450619,13.463038548752836,grid
gfs_seamless,4,441.0,7.3244897959183675,-4.95124716553288,14.70314033126621,13.593650793650793,grid
gfs_seamless,5,441.0,10.577551020408162,-8.634240362811791,21.05868218189579,15.427664399092968,grid
gfs_seamless,6,441.0,11.343537414965986,-8.907709750566895,22.251166241187686,15.146938775510202,grid
gfs_seamless,7,441.0,11.606575963718821,-9.672789115646259,23.161153359522288,14.760544217687073,grid
icon_seamless,1,441.0,6.331972789115646,-2.7002267573696144,13.240246485021606,8.203628117913832,grid
icon_seamless,2,441.0,7.170521541950113,-3.43265306122449,15.0735942173851,9.062585034013606,grid
icon_seamless,3,441.0,6.360997732426305,-2.905215419501134,13.516579220801376,9.694331065759636,grid
icon_seamless,4,441.0,7.885714285714285,-2.6807256235827666,15.266657754802377,13.21904761904762,grid
icon_seamless,5,441.0,7.4229024943310655,-3.6424036281179135,13.814589382916674,11.596371882086167,grid
icon_seamless,6,441.0,9.153514739229026,-1.135374149659864,16.297320425800816,13.792063492063495,grid
best_match,1,441.0,3.868480725623583,-1.4276643990929705,8.012761929665487,9.389569160997732,era5
best_match,2,441.0,4.581859410430839,-1.0276643990929706,9.347251527112721,10.589115646258502,era5
best_match,3,441.0,5.686167800453515,-1.087074829931973,11.599087070182637,11.587301587301587,era5
best_match,4,441.0,7.093197278911566,-1.4723356009070294,13.92442754800651,13.307029478458048,era5
best_match,5,441.0,7.198412698412698,-1.9213151927437642,13.434471010719719,12.874376417233561,era5
best_match,6,441.0,9.737414965986394,-1.4154195011337867,17.722121922675537,14.564852607709751,era5
best_match,7,441.0,10.621541950113379,-1.8750566893424032,18.56102211490826,17.775963718820858,era5
ecmwf_ifs025,1,441.0,3.661678004535148,-0.3886621315192742,7.188845605087569,,era5
ecmwf_ifs025,2,441.0,4.456916099773242,-0.7131519274376418,9.189774214493992,,era5
ecmwf_ifs025,3,441.0,5.639229024943311,-0.5839002267573695,11.310778877728168,,era5
ecmwf_ifs025,4,441.0,7.290702947845805,-1.249886621315193,14.417701390259294,,era5
ecmwf_ifs025,5,441.0,7.379818594104308,-1.0151927437641723,13.796656566947801,,era5
ecmwf_ifs025,6,441.0,9.841269841269842,-0.9777777777777779,17.949590537210444,,era5
ecmwf_ifs025,7,441.0,10.60861678004535,-1.5029478458049883,18.26533959129935,,era5
gfs_seamless,1,441.0,6.020861678004534,-2.784580498866213,13.567377841594839,14.714512471655329,era5
gfs_seamless,2,441.0,6.411337868480726,-3.253968253968254,15.013896812808758,15.840816326530613,era5
gfs_seamless,3,441.0,6.533106575963719,-2.2918367346938777,12.9018930214684,16.225396825396825,era5
gfs_seamless,4,441.0,7.682766439909298,-5.190249433106576,15.910313402392747,15.606802721088437,era5
gfs_seamless,5,441.0,10.826530612244898,-8.873242630385487,21.124928584725453,18.67800453514739,era5
gfs_seamless,6,441.0,11.648752834467121,-9.14671201814059,22.440985847439695,17.453968253968252,era5
gfs_seamless,7,441.0,12.056462585034012,-9.911791383219956,23.4810199803954,17.775963718820858,era5
icon_seamless,1,441.0,6.5659863945578225,-2.9392290249433106,14.717057837190827,9.389569160997732,era5
icon_seamless,2,441.0,7.4793650793650786,-3.6716553287981863,16.681504959377932,10.589115646258502,era5
icon_seamless,3,441.0,6.678458049886621,-3.1442176870748297,13.670369500038166,11.587301587301587,era5
icon_seamless,4,441.0,8.079818594104308,-2.9197278911564624,15.41031253499759,13.307029478458048,era5
icon_seamless,5,441.0,8.324943310657595,-3.88140589569161,15.44732913238606,12.874376417233561,era5
icon_seamless,6,441.0,9.02108843537415,-1.37437641723356,16.162893170662812,14.564852607709751,era5
best_match,1,438.0,4.70379646662318,2.079160676233964,9.85769533202197,,gauge
best_match,2,438.0,5.131786029571646,2.483726886279626,10.856316984699507,,gauge
best_match,3,438.0,6.403028908458362,2.418201772124374,12.97247344254959,,gauge
best_match,4,438.0,7.381254566210046,2.012950630571863,14.406704699354748,,gauge
best_match,5,438.0,6.805838649706458,1.5323570232659274,13.058941975832372,,gauge
best_match,6,438.0,9.084976353555122,2.002448347466841,17.126977329553867,,gauge
best_match,7,438.0,9.569160828440964,1.6241378451837356,17.576062432879734,,gauge
ecmwf_ifs025,1,438.0,5.068466394868449,3.1243661556860185,10.603677936982873,,gauge
ecmwf_ifs025,2,438.0,5.3276109915198955,2.8024483474668402,11.421490587172721,,gauge
ecmwf_ifs025,3,438.0,6.328354848880191,2.926420950206566,12.64081947700491,,gauge
ecmwf_ifs025,4,438.0,7.803558980213089,2.24285930637095,15.24532775534539,,gauge
ecmwf_ifs025,5,438.0,7.250880006523158,2.455873005001087,13.882692958342117,,gauge
ecmwf_ifs025,6,438.0,9.358602359208524,2.4565579365079366,17.535083610475088,,gauge
ecmwf_ifs025,7,438.0,9.574077245053273,1.9997086214394433,17.451720629053888,,gauge
gfs_seamless,1,438.0,5.096391204609698,0.718658393128941,11.634842414265096,,gauge
gfs_seamless,2,438.0,5.963202685366384,0.23897802783213745,12.945320959619046,,gauge
gfs_seamless,3,438.0,5.970009078060447,1.2079277995216349,12.967991729081984,,gauge
gfs_seamless,4,438.0,6.03318376821048,-1.7196977712546204,12.50558663063423,,gauge
gfs_seamless,5,438.0,8.21026854751033,-5.424948912807132,17.331072006100044,,gauge
gfs_seamless,6,438.0,8.996846173081103,-5.715131561208958,18.221030195159262,,gauge
gfs_seamless,7,438.0,9.09704175907806,-6.517186355729507,18.917610352327426,,gauge
icon_seamless,1,438.0,6.021027473363775,0.5599825940421832,12.606488034156719,,gauge
icon_seamless,2,438.0,6.71180873015873,-0.18179822787562527,13.924384715496469,,gauge
icon_seamless,3,438.0,6.263242868014785,0.33327026527505943,13.000269374782784,,gauge
icon_seamless,4,438.0,7.49995593607306,0.5634072515764296,14.781298228867534,,gauge
icon_seamless,5,438.0,6.846404511850403,-0.5046292781039358,12.7971753204622,,gauge
icon_seamless,6,438.0,8.802615775168515,2.0243661556860184,14.817567484094083,,gauge
