model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
best_match,1,441,3.7850340136054417,1,3.7850340136054417,0.7233560090702947,0.679812278017898,0.7630421278988143,0.5750625163166379,grid
best_match,1,441,3.7850340136054417,2,7.570068027210883,0.8208616780045351,0.782348461901739,0.8538332481207463,0.889459650277264,grid
best_match,2,441,3.9292517006802727,1,3.9292517006802727,0.7142857142857143,0.6704139884753499,0.7544564821757092,0.5750625163166379,grid
best_match,2,441,3.9292517006802727,2,7.8585034013605455,0.8321995464852607,0.7944864420368538,0.8641751870676981,0.889459650277264,grid
best_match,3,441,5.644897959183674,1,5.644897959183674,0.7210884353741497,0.6774607518364705,0.7608976702638287,0.5750625163166379,grid
best_match,3,441,5.644897959183674,2,11.289795918367348,0.8231292517006803,0.7847717684597632,0.8559059253791356,0.889459650277264,grid
best_match,4,441,7.0895691609977325,1,7.0895691609977325,0.7074829931972789,0.6633787534129156,0.7480037657889036,0.5750625163166379,grid
best_match,4,441,7.0895691609977325,2,14.179138321995465,0.8049886621315193,0.7654419772377224,0.8392678460698698,0.889459650277264,grid
best_match,5,441,7.100453514739228,1,7.100453514739228,0.6870748299319728,0.6423399280780225,0.7285787367760767,0.5750625163166379,grid
best_match,5,441,7.100453514739228,2,14.200907029478456,0.800453514739229,0.7606289500311758,0.8350889056435895,0.889459650277264,grid
best_match,6,441,9.86077097505669,1,9.86077097505669,0.6938775510204082,0.6493419374060365,0.7350646788973028,0.5750625163166379,grid
best_match,6,441,9.86077097505669,2,19.72154195011338,0.8253968253968254,0.7871971872933587,0.8579764903619531,0.889459650277264,grid
best_match,7,441,10.621541950113379,1,10.621541950113379,0.6643990929705216,0.6190759559901526,0.7068828706998134,0.5750625163166379,grid
best_match,7,441,10.621541950113379,2,21.243083900226758,0.800453514739229,0.7606289500311758,0.8350889056435895,0.889459650277264,grid
ecmwf_ifs025,1,441,3.6276643990929704,1,3.6276643990929704,0.7029478458049887,0.6586948838849986,0.7436956676839941,0.5750625163166379,grid
ecmwf_ifs025,1,441,3.6276643990929704,2,7.255328798185941,0.8276643990929705,0.7896247503343807,0.8600449111373447,0.889459650277264,grid
ecmwf_ifs025,2,441,4.11859410430839,1,4.11859410430839,0.6938775510204082,0.6493419374060365,0.7350646788973028,0.5750625163166379,grid
ecmwf_ifs025,2,441,4.11859410430839,2,8.23718820861678,0.8344671201814059,0.7969206399776991,0.8662369729432662,0.889459650277264,grid
