threshold_mm,lead_days,n,base_rate,brier,brier_climatology,bss,truth
1.0,1,441,0.47392290249433106,0.04610733182161754,0.24931998498567987,0.8150676456030358,grid
1.0,2,441,0.47392290249433106,0.053162005542957934,0.24931998498567987,0.7867719848209866,grid
1.0,3,441,0.47392290249433106,0.06046863189720333,0.24931998498567987,0.7574657647252929,grid
1.0,4,441,0.47392290249433106,0.07432602670697909,0.24931998498567987,0.7018850024748391,grid
1.0,5,441,0.47392290249433106,0.08742756361803981,0.24931998498567987,0.6493359181653193,grid
1.0,6,441,0.47392290249433106,0.1143864953388763,0.24931998498567987,0.5412060716053457,grid
10.0,1,441,0.3424036281179138,0.041572184429327294,0.2251633835696032,0.8153688056633934,grid
10.0,2,441,0.3424036281179138,0.0634920634920635,0.2251633835696032,0.71801781228591,grid
10.0,3,441,0.3424036281179138,0.059712773998488296,0.2251633835696032,0.7348024663165106,grid
10.0,4,441,0.3424036281179138,0.07760141093474428,0.2251633835696032,0.6553551039050011,grid
10.0,5,441,0.3424036281179138,0.09674981103552534,0.2251633835696032,0.5703128568166247,grid
10.0,6,441,0.3424036281179138,0.11413454270597129,0.2251633835696032,0.49310344827586206,grid
20.0,1,441,0.2562358276643991,0.04913076341647771,0.19057902828553946,0.7422026764515433,grid
20.0,2,441,0.2562358276643991,0.061224489795918366,0.19057902828553946,0.6787448737319232,grid
20.0,3,441,0.2562358276643991,0.06399596875787353,0.19057902828553946,0.6642024606086768,grid
20.0,4,441,0.2562358276643991,0.08944318468127993,0.19057902828553946,0.5306766673861428,grid
20.0,5,441,0.2562358276643991,0.10556815318720081,0.19057902828553946,0.4460662637599827,grid
20.0,6,441,0.2562358276643991,0.1368102796674225,0.19057902828553946,0.28213360673429755,grid
1.0,1,441,0.47392290249433106,0.05366591080876796,0.24931998498567987,0.7847508661936974,era5
1.0,2,441,0.47392290249433106,0.05165028974552785,0.24931998498567987,0.7928353407028543,era5
1.0,3,441,0.47392290249433106,0.06802721088435375,0.24931998498567987,0.7271489853159545,era5
1.0,4,441,0.47392290249433106,0.07281431090954901,0.24931998498567987,0.7079483583567068,era5
1.0,5,441,0.47392290249433106,0.09196271101033006,0.24931998498567987,0.6311458505197163,era5
1.0,6,441,0.47392290249433106,0.10078105316200556,0.24931998498567987,0.5957762745421548,era5
10.0,1,441,0.3401360544217687,0.033257747543461835,0.2244435189041603,0.8518213058419244,era5
10.0,2,441,0.3401360544217687,0.05366591080876796,0.2244435189041603,0.760893470790378,era5
10.0,3,441,0.3401360544217687,0.046863189720332585,0.2244435189041603,0.7912027491408935,era5
10.0,4,441,0.3401360544217687,0.07231040564373897,0.2244435189041603,0.6778235967926689,era5
10.0,5,441,0.3401360544217687,0.10052910052910054,0.2244435189041603,0.5520962199312714,era5
10.0,6,441,0.3401360544217687,0.11942554799697658,0.2244435189041603,0.46790378006872846,era5
20.0,1,441,0.2585034013605442,0.045351473922902494,0.1916793928455736,0.7633993239980685,era5
20.0,2,441,0.2585034013605442,0.052910052910052914,0.1916793928455736,0.7239658779977467,era5
20.0,3,441,0.2585034013605442,0.06475182665658856,0.1916793928455736,0.6621868125972423,era5
20.0,4,441,0.2585034013605442,0.09322247417485513,0.1916793928455736,0.5136541659960298,era5
20.0,5,441,0.2585034013605442,0.10632401108591585,0.1916793928455736,0.4453028595954718,era5
20.0,6,441,0.2585034013605442,0.13454270597127738,0.1916793928455736,0.29808466119427013,era5
1.0,1,438,0.4315068493150685,0.049720953830542876,0.2453086883092513,0.7973127076206059,gauge
1.0,2,438,0.4315068493150685,0.050481988838153226,0.2453086883092513,0.7942103511045948,gauge
1.0,3,438,0.4315068493150685,0.06443429731100965,0.2453086883092513,0.737333814977724,gauge
1.0,4,438,0.4315068493150685,0.06823947234906139,0.2453086883092513,0.7218220323976683,gauge
1.0,5,438,0.4315068493150685,0.09436834094368342,0.2453086883092513,0.6153077920146193,gauge
1.0,6,438,0.4315068493150685,0.1187214611872146,0.2453086883092513,0.5160323835022631,gauge
10.0,1,438,0.2922374429223744,0.0547945205479452,0.20683471987656638,0.7350806451612903,gauge
10.0,2,438,0.2922374429223744,0.06468797564687977,0.20683471987656638,0.6872479838709677,gauge
10.0,3,438,0.2922374429223744,0.0639269406392694,0.20683471987656638,0.6909274193548387,gauge
10.0,4,438,0.2922374429223744,0.0971588026382547,0.20683471987656638,0.5302587365591398,gauge
10.0,5,438,0.2922374429223744,0.10908168442415019,0.20683471987656638,0.4726142473118279,gauge
10.0,6,438,0.2922374429223744,0.13901572805682394,0.20683471987656638,0.32788978494623655,gauge
20.0,1,438,0.18949771689497716,0.05707762557077625,0.15358833218656825,0.628372645511624,gauge
20.0,2,438,0.18949771689497716,0.07534246575342465,0.15358833218656825,0.5094518920753437,gauge
20.0,3,438,0.18949771689497716,0.07813292744799595,0.15358833218656825,0.4912834436336896,gauge
20.0,4,438,0.18949771689497716,0.08853373921867075,0.15358833218656825,0.42356468126025215,gauge
20.0,5,438,0.18949771689497716,0.08904109589041095,0.15358833218656825,0.42026132699813346,gauge
20.0,6,438,0.18949771689497716,0.12201927955352612,0.15358833218656825,0.2055432999604051,gauge
