lead_days,n,crps_mm,truth
1,441,3.416780045351474,grid
2,441,3.683471907281431,grid
3,441,4.019349962207105,grid
4,441,5.108062484252961,grid
5,441,5.797656840513983,grid
6,441,7.178130511463845,grid
1,441,3.486167800453515,era5
2,441,3.956185437137818,era5
3,441,4.1416477702191985,era5
4,441,5.253791887125221,era5
5,441,6.2216931216931215,era5
6,441,7.130360292265054,era5
1,438,3.4537932485322895,gauge
2,438,3.828778752627383,gauge
3,438,4.034995263463071,gauge
4,438,4.667686979053418,gauge
5,438,4.819311194462565,gauge
6,438,6.021891552511415,gauge
