prob,n,obs_freq,threshold_mm,truth
0.0,1176,0.04081632653061224,1.0,grid
0.3333333333333333,236,0.3305084745762712,1.0,grid
0.6666666666666666,246,0.7479674796747967,1.0,grid
1.0,988,0.9554655870445344,1.0,grid
0.0,1570,0.033121019108280254,10.0,grid
0.3333333333333333,238,0.46638655462184875,10.0,grid
0.6666666666666666,301,0.7807308970099668,10.0,grid
1.0,537,0.9459962756052142,10.0,grid
0.0,1828,0.045951859956236324,20.0,grid
0.3333333333333333,268,0.458955223880597,20.0,grid
0.6666666666666666,265,0.7735849056603774,20.0,grid
1.0,285,0.9333333333333333,20.0,grid
0.0,1176,0.0391156462585034,1.0,era5
0.3333333333333333,236,0.3474576271186441,1.0,era5
0.6666666666666666,246,0.7479674796747967,1.0,era5
1.0,988,0.9534412955465587,1.0,era5
0.0,1570,0.028662420382165606,10.0,era5
0.3333333333333333,238,0.4495798319327731,10.0,era5
0.6666666666666666,301,0.7873754152823921,10.0,era5
1.0,537,0.9515828677839852,10.0,era5
0.0,1828,0.04157549234135667,20.0,era5
0.3333333333333333,268,0.503731343283582,20.0,era5
0.6666666666666666,265,0.7849056603773585,20.0,era5
1.0,285,0.9298245614035088,20.0,era5
0.0,1173,0.02216538789428815,1.0,gauge
0.3333333333333333,230,0.20434782608695654,1.0,gauge
0.6666666666666666,241,0.6099585062240664,1.0,gauge
1.0,984,0.9288617886178862,1.0,gauge
0.0,1556,0.02442159383033419,10.0,gauge
0.3333333333333333,236,0.3177966101694915,10.0,gauge
0.6666666666666666,300,0.64,10.0,gauge
1.0,536,0.8638059701492538,10.0,gauge
0.0,1814,0.025909592061742006,20.0,gauge
0.3333333333333333,264,0.2803030303030303,20.0,gauge
0.6666666666666666,265,0.5471698113207547,20.0,gauge
1.0,285,0.8140350877192982,20.0,gauge
