window,city,n_days,station_mm,n_gauges,grid_mm,era5_mm,best_match_lead1_mm,best_match_lead5_mm,ecmwf_ifs025_lead1_mm,ecmwf_ifs025_lead5_mm,gfs_seamless_lead1_mm,gfs_seamless_lead5_mm,icon_seamless_lead1_mm,icon_seamless_lead5_mm,grid_over_station,era5_over_station
2026-07-16..2026-07-21,andacollo,6,255.0583333333333,6,356.2,383.0,289.3999999999999,252.0,301.8,227.10000000000002,200.9,74.0,358.3,256.3,1.3965432744143498,1.5016172770934755
2026-07-16..2026-07-21,chillan,6,78.9,2,130.6,165.3,134.0,108.2,149.39999999999998,123.9,115.80000000000001,77.0,85.79999999999998,108.69999999999999,1.6552598225602027,2.0950570342205324
2026-07-16..2026-07-21,combarbala,6,303.95,2,353.90000000000003,420.5,325.5,333.20000000000005,338.7,331.5,320.59999999999997,122.4,303.0,285.90000000000003,1.164336239513078,1.383451225530515
2026-07-16..2026-07-21,concepcion,6,101.8,1,94.5,92.3,91.0,76.6,96.9,84.30000000000001,98.7,89.80000000000001,70.3,107.0,0.9282907662082515,0.906679764243615
2026-07-16..2026-07-21,coquimbo,6,182.18528571428573,7,297.69999999999993,291.7,264.5,210.79999999999998,322.5,241.2,131.5,58.3,216.8,143.6,1.634050734848431,1.60111722994722
2026-07-16..2026-07-21,curico,6,171.8,1,194.4,166.79999999999998,185.20000000000005,223.2,202.8,239.1,175.0,147.7,170.70000000000002,160.2,1.1315483119906868,0.9708963911525027
2026-07-16..2026-07-21,illapel,6,265.3333333333333,3,284.79999999999995,311.4,220.1,260.9,259.8,282.6,213.89999999999998,66.7,135.60000000000002,127.7,1.0733668341708542,1.1736180904522613
2026-07-16..2026-07-21,la_serena,6,182.18528571428573,7,310.2,291.7,327.40000000000003,211.09999999999997,322.5,241.2,131.5,58.3,216.8,143.6,1.7026622033926213,1.60111722994722
2026-07-16..2026-07-21,los_vilos,6,162.00000000000003,2,287.50000000000006,264.29999999999995,265.7,264.09999999999997,285.29999999999995,282.0,208.10000000000002,85.1,156.4,205.39999999999998,1.7746913580246915,1.6314814814814809
2026-07-16..2026-07-21,monte_patria,6,259.5753,5,362.70000000000005,403.4,368.4,311.4,396.0,313.8,230.5,83.3,285.7,233.3,1.3972824070703183,1.554076986523756
2026-07-16..2026-07-21,osorno,6,27.8,1,35.2,37.3,35.6,23.9,43.49999999999999,21.6,45.49999999999999,18.3,48.0,26.5,1.2661870503597124,1.3417266187050358
2026-07-16..2026-07-21,ovalle,6,212.275,4,305.9,396.99999999999994,301.20000000000005,231.49999999999997,338.7,259.8,203.7,74.60000000000001,189.2,157.3,1.4410552349546577,1.870215522317748
2026-07-16..2026-07-21,puerto_montt,6,30.700000000000003,3,28.7,31.900000000000002,29.7,13.100000000000001,28.8,6.6,48.9,24.7,45.8,22.900000000000006,0.9348534201954396,1.0390879478827362
2026-07-16..2026-07-21,rancagua,6,93.0,2,171.29999999999998,183.1,170.39999999999998,205.70000000000002,184.49999999999997,202.20000000000005,304.90000000000003,166.6,252.69999999999996,161.1,1.8419354838709676,1.9688172043010752
2026-07-16..2026-07-21,salamanca,6,286.50000000000006,3,308.8,322.99999999999994,271.6,256.5,249.3,281.09999999999997,230.29999999999998,83.9,147.9,133.5,1.0778359511343802,1.12739965095986
2026-07-16..2026-07-21,santiago,6,119.95333333333333,6,138.10000000000002,148.8,134.29999999999998,120.49999999999999,192.3,174.9,186.29999999999998,79.30000000000001,121.4,132.0,1.1512810537431226,1.2404824098260436
2026-07-16..2026-07-21,talca,6,136.9,1,190.0,161.8,163.0,204.80000000000004,151.20000000000002,238.8,134.1,126.1,151.3,173.09999999999997,1.3878743608473338,1.1818845872899928
2026-07-16..2026-07-21,temuco,6,27.525,4,43.5,58.3,31.799999999999997,21.6,36.0,20.1,70.6,27.200000000000003,29.200000000000003,38.8,1.5803814713896458,2.1180744777475025
2026-07-16..2026-07-21,valdivia,4,45.0,1,35.099999999999994,40.1,35.8,18.9,36.6,21.3,46.1,18.0,61.39999999999999,46.7,0.7799999999999999,0.8911111111111112
2026-07-16..2026-07-21,valparaiso,6,229.9333333333333,3,248.9,195.0,238.59999999999997,266.3,257.4,305.1,233.7,138.60000000000002,219.30000000000004,199.20000000000002,1.0824876775877068,0.8480719048999711
2026-07-16..2026-07-21,vicuna,6,219.64,5,267.1,287.5,268.4,177.20000000000002,263.4,188.70000000000002,306.90000000000003,72.0,309.4,176.3,1.2160808595884176,1.3089601165543618
