city,station,window,reported_mm,ours_mm,diff_mm,diff_pc,days_present,days_dropped_by_qc,source
la_serena,"La Florida, La Serena Ad. (DMC 290004)",2026-07-16..2026-07-18,59.8,59.0,-0.8,-1.3,3,0,La Tercera (DMC figures)
vicuna,El Tololo (DMC 300034),2026-07-16..2026-07-18,214.2,203.1,-11.1,-5.2,3,0,La Tercera (DMC figures)
ovalle,"Monte Patria, Municipalidad (DMC 300047)",2026-07-16..2026-07-18,137.5,134.6,-2.9,-2.1,3,0,La Tercera (DMC figures)
santiago,"Quinta Normal, Santiago (DMC 330020)",2026-07-16..2026-07-17,101.5,95.9,-5.6,-5.5,2,0,"Wikipedia ES, citing DMC"
valparaiso,"Rodelillo, Ad. (DMC 330007)",2026-07-16..2026-07-17,173.6,177.4,3.8,2.2,2,0,"Wikipedia ES, citing DMC"
la_serena,"La Florida, La Serena Ad. (DMC 290004)",2026-07-01..2026-07-31,200.2,179.2,-21.0,-10.5,30,1,Emol (DMC/DGAC balance)
santiago,"Quinta Normal, Santiago (DMC 330020)",2026-07-01..2026-07-31,156.4,142.9,-13.5,-8.6,30,1,Emol (DMC/DGAC balance)
valparaiso,"Rodelillo, Ad. (DMC 330007)",2026-07-01..2026-07-31,327.3,297.9,-29.4,-9.0,30,1,Emol (DMC/DGAC balance)
concepcion,"Carriel Sur, Concepcion Ap. (DMC 360019)",2026-07-01..2026-07-31,340.8,307.6,-33.2,-9.7,30,1,Emol (DMC/DGAC balance)
valdivia,"Pichoy, Valdivia Ad. (DMC 390006)",2026-07-01..2026-07-31,683.3,651.6,-31.7,-4.6,20,11,Emol (DMC/DGAC balance)
temuco,"Maquehue, Temuco Ad. (DMC 380013)",2026-07-01..2026-07-31,204.2,179.3,-24.9,-12.2,30,1,"Wikipedia ES, citing DMC"
talca,Panguilemo (DMC 350028),2026-07-01..2026-07-31,317.9,260.9,-57.0,-17.9,30,1,"Wikipedia ES, citing DMC"
