model,lead_days,n,mean_error_mm,q05,q16,q50,q84,q95,width68_mm,width90_mm,truth
best_match,1,441,1.1886621315192742,-9.099999999999994,-1.2000000000000002,0.0,4.300000000000001,14.7,5.500000000000001,23.799999999999994,grid
best_match,2,441,0.7886621315192746,-10.600000000000009,-2.26,0.0,3.600000000000005,14.800000000000004,5.860000000000005,25.400000000000013,grid
best_match,3,441,0.8480725623582768,-14.299999999999997,-3.519999999999997,0.0,5.3999999999999835,20.5,8.91999999999998,34.8,grid
best_match,4,441,1.2333333333333334,-17.79999999999999,-3.419999999999998,0.0,7.999999999999984,24.800000000000004,11.419999999999982,42.599999999999994,grid
best_match,5,441,1.6823129251700677,-18.6,-4.019999999999999,0.0,10.539999999999985,25.699999999999996,14.559999999999985,44.3,grid
best_match,6,441,1.1764172335600906,-26.8,-9.42,0.0,8.859999999999996,37.1,18.279999999999994,63.900000000000006,grid
best_match,7,441,1.6360544217687074,-31.9,-8.42,0.0,14.359999999999996,37.8,22.779999999999994,69.69999999999999,grid
ecmwf_ifs025,1,441,0.14965986394557815,-10.999999999999986,-3.919999999999999,0.0,2.5,12.599999999999998,6.419999999999999,23.599999999999984,grid
ecmwf_ifs025,2,441,0.4741496598639455,-11.500000000000007,-2.3599999999999985,0.0,4.359999999999997,15.399999999999999,6.719999999999995,26.900000000000006,grid
ecmwf_ifs025,3,441,0.3448979591836733,-15.400000000000002,-3.559999999999999,0.0,5.1999999999999975,19.3,8.759999999999996,34.7,grid
ecmwf_ifs025,4,441,1.0108843537414964,-22.700000000000003,-4.060000000000005,0.0,6.700000000000001,24.6,10.760000000000005,47.300000000000004,grid
ecmwf_ifs025,5,441,0.7761904761904763,-21.699999999999996,-4.6,0.0,7.459999999999999,26.0,12.059999999999999,47.699999999999996,grid
ecmwf_ifs025,6,441,0.7387755102040813,-32.2,-11.059999999999997,0.0,8.319999999999974,35.89999999999999,19.37999999999997,68.1,grid
ecmwf_ifs025,7,441,1.263945578231292,-34.0,-7.679999999999998,0.0,13.639999999999986,32.5,21.319999999999986,66.5,grid
gfs_seamless,1,441,2.5455782312925166,-13.400000000000006,-0.30000000000000043,0.0,7.559999999999995,24.3,7.859999999999996,37.7,grid
