subset,lead_days,n,tied_frac,rank1_frac,rank2_frac,rank3_frac,rank4_frac,below_min_frac,inside_frac,above_max_frac,inside_wilson_lo,inside_wilson_hi,truth
all,1,441,0.4444444444444444,0.16099773242630386,0.23129251700680273,0.29931972789115646,0.30839002267573695,0.049886621315192746,0.7573696145124716,0.1927437641723356,0.7152494710120472,0.7950446921508652,grid
all,2,441,0.43537414965986393,0.15419501133786848,0.25170068027210885,0.31065759637188206,0.2834467120181406,0.05442176870748299,0.7324263038548753,0.21315192743764172,0.6892316708087304,0.7716066703736354,grid
all,3,441,0.4308390022675737,0.21541950113378686,0.23809523809523808,0.26077097505668934,0.2857142857142857,0.08390022675736962,0.7074829931972789,0.20861678004535147,0.6633787534129156,0.7480037657889036,grid
all,4,441,0.4217687074829932,0.19954648526077098,0.2222222222222222,0.2494331065759637,0.3287981859410431,0.09070294784580499,0.6870748299319728,0.2222222222222222,0.6423399280780225,0.7285787367760767,grid
all,5,441,0.40816326530612246,0.19047619047619047,0.20861678004535147,0.2789115646258503,0.3219954648526077,0.08390022675736962,0.6643990929705216,0.25170068027210885,0.6190759559901526,0.7068828706998134,grid
all,6,441,0.4036281179138322,0.20408163265306123,0.23809523809523808,0.2494331065759637,0.30839002267573695,0.09297052154195011,0.6780045351473923,0.2290249433106576,0.6330204809157224,0.7199142486727236,grid
wet,1,267,0.0898876404494382,0.12359550561797752,0.2209737827715356,0.3445692883895131,0.31086142322097376,0.08239700374531835,0.6067415730337079,0.31086142322097376,0.5470335817667425,0.6634216426122618,grid
wet,2,268,0.07835820895522388,0.12313432835820895,0.22388059701492538,0.30970149253731344,0.34328358208955223,0.08955223880597014,0.5671641791044776,0.34328358208955223,0.5073086464435006,0.6251214845164719,grid
wet,3,284,0.12323943661971831,0.19718309859154928,0.22535211267605634,0.2605633802816901,0.31690140845070425,0.13028169014084506,0.5528169014084507,0.31690140845070425,0.49466897365209295,0.609555067306412,grid
wet,4,285,0.11929824561403508,0.17894736842105263,0.20701754385964913,0.2807017543859649,0.3333333333333333,0.14035087719298245,0.5298245614035088,0.3298245614035088,0.4718673956434102,0.5869884211975732,grid
wet,5,304,0.14802631578947367,0.18421052631578946,0.17763157894736842,0.27960526315789475,0.35855263157894735,0.12171052631578948,0.5197368421052632,0.35855263157894735,0.4636795068120341,0.575301597434315,grid
wet,6,309,0.15857605177993528,0.19741100323624594,0.2459546925566343,0.23300970873786409,0.32362459546925565,0.13268608414239483,0.5501618122977346,0.31715210355987056,0.49441606080338285,0.6046756647973554,grid
all,1,441,0.43537414965986393,0.1746031746031746,0.21768707482993196,0.2789115646258503,0.3287981859410431,0.05442176870748299,0.7188208616780045,0.22675736961451248,0.6751105345334243,0.7587519037504615,era5
all,2,441,0.42857142857142855,0.16099773242630386,0.22675736961451248,0.2947845804988662,0.31746031746031744,0.05442176870748299,0.7188208616780045,0.22675736961451248,0.6751105345334243,0.7587519037504615,era5
all,3,441,0.4126984126984127,0.1927437641723356,0.24489795918367346,0.26077097505668934,0.30158730158730157,0.06802721088435375,0.7006802721088435,0.23129251700680273,0.6563548101472453,0.7415397576053339,era5
all,4,441,0.40589569160997735,0.18594104308390022,0.23356009070294784,0.24263038548752835,0.3378684807256236,0.07936507936507936,0.6780045351473923,0.24263038548752835,0.6330204809157224,0.7199142486727236,era5
all,5,441,0.39909297052154197,0.1655328798185941,0.21541950113378686,0.2857142857142857,0.3333333333333333,0.07029478458049887,0.6780045351473923,0.25170068027210885,0.6330204809157224,0.7199142486727236,era5
all,6,441,0.3832199546485261,0.19501133786848074,0.23356009070294784,0.26303854875283444,0.30839002267573695,0.09070294784580499,0.6621315192743764,0.2471655328798186,0.6167558327013485,0.7047070101722042,era5
wet,1,265,0.0830188679245283,0.12075471698113208,0.22641509433962265,0.2943396226415094,0.3584905660377358,0.09056603773584905,0.5547169811320755,0.35471698113207545,0.4945207801417883,0.6133494870434697,era5
wet,2,267,0.08239700374531835,0.1198501872659176,0.21722846441947566,0.31086142322097376,0.352059925093633,0.0898876404494382,0.5617977528089888,0.34831460674157305,0.5018242275421276,0.6200182707825592,era5
wet,3,279,0.0931899641577061,0.14336917562724014,0.24014336917562723,0.26881720430107525,0.34767025089605735,0.10752688172043011,0.5483870967741935,0.34408602150537637,0.4897294878051422,0.6057303507446634,era5
wet,4,289,0.11764705882352941,0.17993079584775087,0.21107266435986158,0.25951557093425603,0.3494809688581315,0.12110726643598616,0.532871972318339,0.3460207612456747,0.4752963744556515,0.5895851490573891,era5
