metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
mae_mm,best_match,1,grid,gauge,438,21,21,3.8011415525114156,4.70379646662318,-0.9026549141117641,0.4530314854583283,1.9924772186607638,robust,False,
bias_mm,best_match,1,grid,gauge,438,21,21,-1.1878995433789954,2.079160676233964,-3.2670602196129592,1.0279870351596627,3.178114225054923,shifted,True,
pod,best_match,1,grid,gauge,438,21,21,0.9072847682119205,0.9375,-0.0302152317880795,0.014626696905904181,2.0657590693550834,shifted,False,
far,best_match,1,grid,gauge,438,21,21,0.06802721088435375,0.1836734693877551,-0.11564625850340136,0.03936667006961,2.9376693100765245,shifted,False,
mae_mm,best_match,2,grid,gauge,438,21,21,3.9445205479452055,5.131786029571646,-1.187265481626441,0.5378236631690639,2.207536713112651,shifted,False,
bias_mm,best_match,2,grid,gauge,438,21,21,-0.7833333333333334,2.483726886279626,-3.2670602196129597,1.033913750578685,3.1598962851440704,shifted,True,
pod,best_match,2,grid,gauge,438,21,21,0.9072847682119205,0.953125,-0.0458402317880795,0.016691424427166476,2.74633432204092,shifted,False,
far,best_match,2,grid,gauge,438,21,21,0.08053691275167785,0.18120805369127516,-0.10067114093959731,0.03175669985633709,3.170075650020928,shifted,False,
mae_mm,best_match,3,grid,gauge,438,21,21,5.672146118721462,6.403028908458362,-0.7308827897369001,0.5791416659394725,1.2620103728010592,robust,False,
bias_mm,best_match,3,grid,gauge,438,21,21,-0.8488584474885846,2.418201772124374,-3.267060219612959,0.9989235972041369,3.2705806818029473,shifted,True,
pod,best_match,3,grid,gauge,438,21,21,0.9072847682119205,0.9296875,-0.0224027317880795,0.01941039382269192,1.1541616307593592,robust,False,
far,best_match,3,grid,gauge,438,21,21,0.10457516339869281,0.2222222222222222,-0.1176470588235294,0.038680497049660256,3.0415084550875164,shifted,False,
mae_mm,best_match,4,grid,gauge,438,21,21,7.125799086757991,7.381254566210046,-0.2554554794520554,0.682400276067399,0.37434844095348035,robust,False,
bias_mm,best_match,4,grid,gauge,438,21,21,-1.2541095890410958,2.012950630571863,-3.267060219612959,1.0153244080625223,3.217750103976401,shifted,True,
pod,best_match,4,grid,gauge,438,21,21,0.8609271523178808,0.8515625,0.00936465231788075,0.015302512824458091,0.6119682711791736,robust,False,
far,best_match,4,grid,gauge,438,21,21,0.1503267973856209,0.2875816993464052,-0.1372549019607843,0.039341955091976966,3.4887666777082664,shifted,False,
mae_mm,best_match,5,grid,gauge,438,21,21,7.108219178082191,6.805838649706458,0.3023805283757328,0.5877422072043924,0.5144781583987508,robust,False,
bias_mm,best_match,5,grid,gauge,438,21,21,-1.7347031963470319,1.5323570232659274,-3.2670602196129592,1.023255177402033,3.192810837183132,shifted,True,
pod,best_match,5,grid,gauge,438,21,21,0.8013245033112583,0.8203125,-0.018987996688741737,0.01725996381444462,1.100117989404529,robust,False,
far,best_match,5,grid,gauge,438,21,21,0.1597222222222222,0.2708333333333333,-0.1111111111111111,0.03448546172397622,3.2219696520363086,shifted,False,
mae_mm,best_match,6,grid,gauge,438,21,21,9.848173515981735,9.084976353555122,0.7631971624266125,0.5962900357118018,1.2799093003718747,robust,False,
bias_mm,best_match,6,grid,gauge,438,21,21,-1.2646118721461186,2.002448347466841,-3.2670602196129597,1.0009981244084676,3.26380253863473,shifted,True,
pod,best_match,6,grid,gauge,438,21,21,0.7814569536423841,0.7578125,0.0236444536423841,0.017194077104739542,1.3751510766382753,robust,False,
far,best_match,6,grid,gauge,438,21,21,0.2891566265060241,0.41566265060240964,-0.12650602409638556,0.031509336217603205,4.014874297025366,fragile,False,
