subset,lead_days,n,mean_spread_mm,mean_abs_error_mm,spearman,truth
all,1,441,8.685034013605444,4.209977324263038,0.925133586419404,grid
all,2,441,9.718594104308389,4.661602418745275,0.9148142787285232,grid
all,3,441,9.63877551020408,5.045804988662131,0.8903975303308644,grid
all,4,441,10.937868480725625,6.282917611489039,0.8786653696228062,grid
all,5,441,11.799319727891156,7.365154950869236,0.8871516552841271,grid
all,6,441,13.680045351473922,9.143915343915342,0.8670199281105446,grid
wet,1,267,14.342696629213483,6.952059925093632,0.7434334352587657,grid
wet,2,268,15.989552238805972,7.669154228855722,0.7100178310561333,grid
wet,3,284,14.96549295774648,7.833920187793428,0.6782211849701931,grid
wet,4,285,16.923859649122804,9.720233918128656,0.6285982525613341,grid
wet,5,304,17.116118421052633,10.683442982456139,0.6927910683404923,grid
wet,6,309,19.523948220064725,13.049083063646169,0.6425400581148606,grid
all,1,441,8.685034013605444,4.493726379440664,0.921659762874265,era5
all,2,441,9.718594104308389,4.9513983371126224,0.9112844528353089,era5
all,3,441,9.63877551020408,4.9375661375661375,0.8870937592589304,era5
all,4,441,10.937868480725625,6.505291005291005,0.895579055457246,era5
all,5,441,11.799319727891156,7.662509448223735,0.8815865968835012,era5
all,6,441,13.680045351473922,9.15374149659864,0.8712560314443519,era5
wet,1,265,14.451320754716981,7.475220125786164,0.7286169882160125,era5
wet,2,267,16.04943820224719,8.17453183520599,0.710341987047361,era5
wet,3,279,15.234050179211467,7.801911589008364,0.6307083317237594,era5
wet,4,289,16.689965397923874,9.9239907727797,0.706721287312682,era5
wet,5,302,17.229470198675497,11.187637969094922,0.6657612554529675,era5
wet,6,308,19.58733766233766,13.10487012987013,0.6466676764017605,era5
all,1,438,8.736757990867579,4.361889399869537,0.8955311043517732,gauge
all,2,438,9.774429223744292,4.900511926505763,0.8919850360028858,gauge
all,3,438,9.684931506849315,5.066609947814743,0.8793939550007993,gauge
all,4,438,11.000456621004567,5.921119406392694,0.8836060829142552,gauge
all,5,438,11.774429223744294,6.159882441835181,0.8740226853475574,gauge
all,6,438,13.638584474885846,7.636254435746902,0.8391134855031134,gauge
wet,1,273,14.015384615384615,6.9907787720216295,0.745025218512548,gauge
wet,2,273,15.679120879120878,7.855125536368394,0.7390920692794679,gauge
wet,3,283,14.987279151943461,7.835159734141007,0.6896634554146911,gauge
wet,4,288,16.728819444444444,9.000001207010582,0.6852936140230774,gauge
wet,5,306,16.852941176470587,8.813001820728292,0.6897782578863565,gauge
wet,6,311,19.208038585209003,10.750952273771244,0.5937612708684424,gauge
