city,valid_date,precip_gauge_mm,n_gauges,gauge_sd_mm,precip_grid_mm,precip_era5_mm
andacollo,2026-07-05,0.0,6,0.0,0.0,0.0
andacollo,2026-07-06,0.0,6,0.0,0.0,0.0
andacollo,2026-07-07,0.0,6,0.0,0.0,0.0
andacollo,2026-07-08,0.0,6,0.0,0.0,0.0
andacollo,2026-07-09,0.0,6,0.0,0.0,0.0
andacollo,2026-07-10,0.0,6,0.0,0.0,0.0
andacollo,2026-07-11,0.0,6,0.0,0.0,0.0
andacollo,2026-07-12,0.03333333333333333,6,0.047140452079103175,0.0,0.0
andacollo,2026-07-13,0.06666666666666667,6,0.07453559924999299,0.0,0.0
andacollo,2026-07-14,0.0,5,0.0,0.0,0.0
andacollo,2026-07-15,0.0,5,0.0,2.2,0.0
andacollo,2026-07-16,19.5,6,7.674850704302549,20.5,22.6
andacollo,2026-07-17,49.949999999999996,6,17.080373727371033,75.1,83.0
andacollo,2026-07-18,78.95833333333333,6,29.29437398583936,116.0,95.7
andacollo,2026-07-19,58.175000000000004,6,8.4738691477585,52.1,87.1
andacollo,2026-07-20,31.84166666666667,6,14.542650396525234,62.8,51.1
andacollo,2026-07-21,16.633333333333333,6,5.802489887013065,29.7,43.5
andacollo,2026-07-22,0.05833333333333333,6,0.09316949906249122,0.6,0.0
andacollo,2026-07-23,0.06666666666666667,6,0.11055415967851334,1.4,0.0
andacollo,2026-07-24,0.016666666666666666,6,0.037267799624996496,0.0,0.0
andacollo,2026-07-25,0.0,6,0.0,0.0,0.0
chillan,2026-07-05,0.15000000000000002,2,0.05,0.0,0.0
chillan,2026-07-06,0.2,2,0.0,0.0,0.0
chillan,2026-07-07,0.0,2,0.0,0.0,0.6
chillan,2026-07-08,3.1999999999999997,2,1.4,15.2,18.2
chillan,2026-07-09,5.9,2,0.6999999999999997,7.6,8.4
chillan,2026-07-10,17.200000000000003,2,0.5999999999999996,25.1,42.4
chillan,2026-07-11,0.0,2,0.0,0.0,0.0
chillan,2026-07-12,0.1,2,0.1,0.0,0.0
chillan,2026-07-13,0.15000000000000002,2,0.05,0.0,0.0
chillan,2026-07-14,8.75,2,1.6500000000000004,24.6,13.9
chillan,2026-07-15,64.75,2,4.25,78.6,94.9
chillan,2026-07-16,24.65,2,3.6500000000000004,37.7,53.0
chillan,2026-07-17,27.85,2,5.549999999999999,36.3,53.3
chillan,2026-07-18,10.05,2,0.75,27.0,28.3
chillan,2026-07-19,0.0,2,0.0,7.4,2.5
chillan,2026-07-20,0.2,2,0.2,2.1,6.4
chillan,2026-07-21,16.15,2,3.55,20.1,21.8
chillan,2026-07-22,1.9,2,0.8999999999999999,22.6,9.8
chillan,2026-07-23,13.1,2,1.0999999999999996,33.8,37.4
chillan,2026-07-24,0.2,1,0.0,10.1,1.0
chillan,2026-07-25,7.0,2,0.5999999999999996,25.6,14.2
combarbala,2026-07-05,0.0,2,0.0,0.0,0.0
combarbala,2026-07-06,0.0,2,0.0,0.0,0.0
combarbala,2026-07-07,0.0,2,0.0,0.0,0.0
combarbala,2026-07-08,0.0,2,0.0,0.0,0.0
combarbala,2026-07-09,0.0,2,0.0,0.0,0.0
combarbala,2026-07-10,0.0,2,0.0,0.0,0.0
combarbala,2026-07-11,0.0,2,0.0,0.0,0.0
combarbala,2026-07-12,0.0,2,0.0,0.0,0.0
combarbala,2026-07-13,0.0,2,0.0,0.0,0.0
combarbala,2026-07-14,0.0,2,0.0,0.0,0.0
combarbala,2026-07-15,0.0,2,0.0,0.1,0.7
combarbala,2026-07-16,34.55,2,0.05000000000000071,36.2,35.9
combarbala,2026-07-17,102.5,2,3.4000000000000057,125.4,123.8
combarbala,2026-07-18,56.099999999999994,2,0.1999999999999993,69.6,90.0
combarbala,2026-07-19,32.95,2,0.34999999999999787,32.9,66.9
combarbala,2026-07-20,51.150000000000006,2,2.0500000000000007,53.8,57.0
combarbala,2026-07-21,26.7,2,0.5,36.0,46.9
combarbala,2026-07-22,0.0,1,0.0,0.0,0.0
combarbala,2026-07-23,0.05,2,0.05,1.2,6.3
combarbala,2026-07-24,0.0,1,0.0,0.0,0.5
combarbala,2026-07-25,0.05,2,0.05,0.2,0.4
concepcion,2026-07-05,0.0,1,0.0,0.0,0.0
concepcion,2026-07-06,0.2,1,0.0,0.9,0.0
concepcion,2026-07-07,0.0,1,0.0,1.1,1.5
concepcion,2026-07-08,4.2,1,0.0,14.3,5.6
concepcion,2026-07-09,4.4,1,0.0,7.2,2.6
concepcion,2026-07-10,13.0,1,0.0,19.6,16.9
concepcion,2026-07-11,0.0,1,0.0,0.0,0.0
concepcion,2026-07-12,0.0,1,0.0,0.0,0.0
concepcion,2026-07-13,2.8,1,0.0,1.7,0.1
concepcion,2026-07-14,31.4,1,0.0,37.0,29.8
concepcion,2026-07-15,26.0,1,0.0,28.5,31.0
concepcion,2026-07-16,38.2,1,0.0,42.5,38.0
concepcion,2026-07-17,7.8,1,0.0,9.9,18.2
concepcion,2026-07-18,26.6,1,0.0,19.3,14.5
concepcion,2026-07-19,0.0,1,0.0,0.0,0.6
concepcion,2026-07-20,0.2,1,0.0,0.8,0.8
concepcion,2026-07-21,29.0,1,0.0,22.0,20.2
concepcion,2026-07-22,3.4,1,0.0,17.5,8.7
concepcion,2026-07-23,26.6,1,0.0,23.4,24.6
concepcion,2026-07-24,1.0,1,0.0,0.8,1.5
concepcion,2026-07-25,12.2,1,0.0,13.1,6.5
coquimbo,2026-07-05,0.0,7,0.0,0.0,0.0
coquimbo,2026-07-06,0.028571428571428574,7,0.06998542122237653,0.0,0.0
coquimbo,2026-07-07,0.014285714285714287,7,0.03499271061118826,0.0,0.0
coquimbo,2026-07-08,0.0,7,0.0,0.0,0.0
coquimbo,2026-07-09,0.042857142857142864,7,0.07284313590846836,0.0,0.0
coquimbo,2026-07-10,0.0,7,0.0,0.0,0.0
coquimbo,2026-07-11,0.0,7,0.0,0.0,0.0
coquimbo,2026-07-12,0.028571428571428574,7,0.04517539514526256,0.0,0.0
coquimbo,2026-07-13,0.06485714285714286,7,0.08869760597740194,0.0,0.1
coquimbo,2026-07-14,0.109,6,0.1598071754751123,0.1,0.0
coquimbo,2026-07-15,0.0,6,0.0,0.4,0.1
coquimbo,2026-07-16,11.396285714285714,7,6.238619117224253,28.1,27.8
coquimbo,2026-07-17,28.748857142857144,7,8.180623927105724,90.5,67.3
coquimbo,2026-07-18,39.27057142857143,7,11.996232585478575,86.0,57.9
coquimbo,2026-07-19,67.30228571428572,7,13.847798274860322,58.3,93.9
coquimbo,2026-07-20,16.440285714285714,7,12.073625112075442,17.9,23.4
coquimbo,2026-07-21,19.027,6,4.411633673217516,16.9,21.4
coquimbo,2026-07-22,0.0,6,0.0,0.0,0.0
coquimbo,2026-07-23,0.0,6,0.0,0.4,0.0
coquimbo,2026-07-24,0.0,7,0.0,0.0,0.0
coquimbo,2026-07-25,0.0,7,0.0,0.0,0.0
curico,2026-07-05,0.6,1,0.0,0.0,1.0
curico,2026-07-06,0.2,1,0.0,0.0,0.0
curico,2026-07-07,0.2,1,0.0,0.0,0.0
curico,2026-07-08,10.0,1,0.0,20.5,9.3
curico,2026-07-10,5.4,1,0.0,26.6,10.6
curico,2026-07-11,0.2,1,0.0,0.0,0.0
curico,2026-07-12,0.0,1,0.0,0.0,0.0
curico,2026-07-13,0.4,1,0.0,0.0,0.0
curico,2026-07-14,0.0,1,0.0,6.2,2.1
curico,2026-07-15,0.4,1,0.0,1.7,1.0
curico,2026-07-16,45.8,1,0.0,42.9,41.5
curico,2026-07-17,60.0,1,0.0,72.0,69.2
curico,2026-07-18,7.2,1,0.0,34.9,18.2
curico,2026-07-19,0.4,1,0.0,4.0,0.7
curico,2026-07-20,23.2,1,0.0,19.4,19.2
curico,2026-07-21,35.2,1,0.0,21.2,18.0
curico,2026-07-22,0.0,1,0.0,0.0,0.0
curico,2026-07-23,10.6,1,0.0,15.6,23.3
curico,2026-07-24,0.0,1,0.0,2.1,1.3
curico,2026-07-25,8.4,1,0.0,29.3,17.5
illapel,2026-07-05,0.0,3,0.0,0.0,0.0
illapel,2026-07-06,0.0,3,0.0,0.0,0.0
