gridded,city,n,n_gauges,station_mean_mm,gridded_mean_mm,bias_mm,bias_pc,mae_mm,pearson_r,pearson_r_sqrt,spearman
grid,(pooled),438,7,10.74755165253316,14.014611872146117,3.267060219612959,30.39818114149677,4.760565503370299,0.9100164079204401,0.945043539675991,0.8894067892111243
grid,andacollo,21,6,12.157142857142858,17.16190476190476,5.004761904761905,41.167254210732466,5.594444444444444,0.9678708302758006,0.9823224735336364,0.8319179667462703
grid,chillan,21,2,9.595238095238093,17.800000000000004,8.204761904761904,85.50868486352365,8.261904761904763,0.9295398273318073,0.8924877580187561,0.9045127476555398
grid,combarbala,21,2,14.47857142857143,16.923809523809524,2.445238095238095,16.888669626706122,2.45,0.9964234791642145,0.9968969105170513,0.9663407871708692
grid,concepcion,21,1,10.80952380952381,12.361904761904762,1.5523809523809524,14.361233480176217,3.342857142857144,0.9292453247517131,0.9445622980535898,0.9435571824584664
grid,coquimbo,21,7,8.689210884353743,14.219047619047618,5.529836734693878,63.640263866206695,6.607687074829933,0.8327069310386818,0.9490463602096294,0.7192036353351223
grid,curico,20,1,10.41,14.820000000000002,4.409999999999999,42.36311239193087,6.640000000000001,0.8604662397545999,0.8696730540272305,0.7688378452379726
grid,illapel,21,3,12.649206349206352,13.685714285714287,1.0365079365079364,8.194252729326124,3.8015873015873014,0.9451161718380722,0.976879944580007,0.9074365531039529
grid,la_serena,21,7,8.689210884353743,14.814285714285713,6.125074829931971,70.49057631874382,6.847115646258502,0.8255683229850376,0.9546244850902764,0.7549001376776674
grid,los_vilos,21,2,7.7285714285714295,13.742857142857142,6.014285714285715,77.81885397412196,6.038095238095239,0.88466198984395,0.9416929945476161,0.8215221743065773
grid,monte_patria,21,5,12.423528571428571,17.314285714285717,4.890757142857143,39.36689254375627,5.293499999999999,0.9670392103786898,0.9867186137500803,0.8962585034013606
grid,osorno,21,1,10.985714285714286,12.82380952380952,1.8380952380952382,16.731686172518412,2.7047619047619045,0.9677536903063738,0.9757972012191394,0.9616799931867267
grid,ovalle,21,4,10.179761904761904,14.642857142857142,4.463095238095238,43.84282540053797,4.501190476190477,0.9646285055301357,0.9865833270587445,0.9149659863945578
grid,puerto_montt,21,3,8.862698412698412,12.214285714285712,3.3515873015873012,37.81678158860928,3.9134920634920642,0.9560255740809436,0.9685835686825598,0.9348207921644142
grid,rancagua,21,2,7.807142857142857,10.623809523809523,2.8166666666666664,36.0780725831046,6.216666666666666,0.8681762152035986,0.8263586023719742,0.8133682217297747
grid,salamanca,21,3,13.687301587301587,14.895238095238094,1.2079365079365065,8.825234837063656,3.322222222222222,0.9402542074353075,0.9763108220669614,0.9451436940420814
grid,santiago,21,6,6.20047619047619,7.347619047619048,1.1471428571428572,18.500883188695205,1.249047619047619,0.9818528069326357,0.9783654106528256,0.8974578103019449
grid,talca,21,1,9.49047619047619,13.423809523809522,3.933333333333333,41.445057701956856,6.542857142857142,0.855335399617321,0.8122408906662987,0.7395096939344548
grid,temuco,21,4,6.348809523809525,8.414285714285715,2.0654761904761907,32.53328333020811,3.9154761904761903,0.7199979314751699,0.8526202170739909,0.846158340971595
grid,valdivia,19,1,24.02631578947368,21.678947368421053,-2.3473684210526327,-9.769989047097472,5.326315789473685,0.9794340508714362,0.98022694613802,0.9291722911288627
grid,valparaiso,21,3,11.211111111111112,13.380952380952381,2.16984126984127,19.354381990655533,3.9746031746031747,0.9607951911568294,0.9314591458766733,0.7136473436445426
