#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:37:44
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:37:46, gmt: gmt-4
#e_cod,e_nombre,e_lat,e_lon,e_altitud,e_nombre,e_cod_provincia,
HDC,Guandacol,-30.543625,-70.33290088,2983,Guandacol,043,
INIA220,Huentelauquen [INIA],-31.5885,-71.509833,22,Huentelauquen [INIA],042,
TIL,Tilama,-32.081625,-71.162773,499,Tilama,042,
COMB,Combarbalá [C.del Sur],-31.200223,-71.000149,1136,Combarbalá [C.del Sur],043,
UCNG,UCN Guayacan,-29.96663,-71.352844,1,UCN Guayacan,041,
INIA304,Ajial de Quiles [INIA],-30.920303,-71.3841,464,Ajial de Quiles [INIA],043,
LCAR,Las Cardas,-30.251452,-71.256903,282,Las Cardas,041,
INIA305,La Polvareda [INIA],-30.882719,-71.239736,265,La Polvareda [INIA],043,
CAN,Canela,-31.390888,-71.412983,350,Canela,042,
INIA66,El Palqui [INIA],-30.774544,-70.926831,504,El Palqui [INIA],043,
8,Pisco Elqui,-30.129028,-70.494712,1240,Pisco Elqui,041,
6,Vicuña,-30.038318,-70.696553,634,Vicuña,041,
3,Pan de Azúcar,-30.074646,-71.238945,135,Pan de Azúcar,041,
CNFJB,Fray Jorge Bosque[IEB],-30.64975,-71.685763,541,Fray Jorge Bosque[IEB],043,
CHILL,Salamanca [Chillepín],-31.88563,-70.71395,887,Salamanca [Chillepín],042,
CACH,Cachiyuyo,-29.0572,-70.90517,950,Cachiyuyo,033,
PICHA,Pichasca,-30.41323,-70.90277,670,Pichasca,043,
CGR,La Serena [Cerro Grande],-29.938475,-71.223505,513,La Serena [Cerro Grande],041,
4,Coquimbo [El Panul],-29.998736,-71.39852,122,Coquimbo [El Panul],041,
LSC,La Serena [CEAZA],-29.915015,-71.242214,90,La Serena [CEAZA],041,
MARPCH,Punta de Choros,-29.24724,-71.467969,7,Punta de Choros,041,
CNFJQ,Fray Jorge Quebrada [IEB],-30.658186658223,-71.663991673787,230,Fray Jorge Quebrada [IEB],043,
9,Gabriela Mistral,-29.97852,-71.080386,198,Gabriela Mistral,041,
5,La Serena [El Romeral],-29.754064,-71.257442,162,La Serena [El Romeral],041,
LVD,Hurtado [Lavaderos],-30.3093,-70.625646,1462,Hurtado [Lavaderos],043,
RPL,Rapel,-30.722798,-70.772488,862,Rapel,043,
QS,Quebrada Seca,-30.496129,-71.490506,183,Quebrada Seca,043,
ANDA,Andacollo [Collowara],-30.248749,-71.065259,1281,Andacollo [Collowara],041,
INILLA,Illapel,-31.64814,-71.196947,275,Illapel,042,
INIA221,Quilimari [INIA],-32.119098,-71.460005,27,Quilimari [INIA],042,
MIN,Mincha Sur,-31.594247,-71.42159,50,Mincha Sur,042,
CHHT,Huintil,-31.573305,-70.998152,590,Huintil,042,
INIA319,Los Acacios [INIA],-30.700483,-71.286422,254,Los Acacios [INIA],043,
INIA323,Las Naranjas [INIA],-30.8614346,-71.4093676,560,Las Naranjas [INIA],043,
INIA65,Vallenar [INIA],-28.58113,-70.79829,470,Vallenar [INIA],033,
EJT,El Jote,-30.405266,-70.279483,3660,El Jote,041,
CORR,Los Corrales,-30.161408,-69.875994,3982,Los Corrales,041,
CDC,Casa del Canto,-31.417337,-70.589,3570,Casa del Canto,042,
EDER,Estero Derecho,-30.38407,-70.412858,3020,Estero Derecho,041,
LAGEL,La Laguna [Elqui],-30.203112,-70.037224,3209,La Laguna [Elqui],041,
TPF2,El Tapado 2,-30.1540725,-69.8961582,4250,El Tapado 2,,
TASC,Tascadero,-31.262951,-70.539993,3427,Tascadero,043,
LCP,La Coipa,-30.96609,-70.329083,3381,La Coipa,,
JDT,Juntas del Toro JVRE,-29.9767,-70.0942,2092,Juntas del Toro JVRE,041,
LLL,Llano de Las Liebres,-30.254131,-69.934485,3565,Llano de Las Liebres,041,
TLH,Ovalle [Talhuén],-30.592033,-71.247966,292,Ovalle [Talhuén],043,
INIA229,Chaguaral [INIA],-30.857084,-70.730689,833,Chaguaral [INIA],043,
ICHAN,Isla Chañaral,-29.032497,-71.5676447,0,Isla Chañaral,033,
ALG,Algarrobal,-29.9988307,-70.587333,800,Algarrobal,041,
LVIL,Los Vilos,-31.9090853,-71.5139144,10,Los Vilos,042,
INIA64,Algarrobo Bajo [INIA],-30.631261,-71.452949,80,Algarrobo Bajo [INIA],043,
BTG,Tongoy Balsa CMET,-30.275075,-71.561582,0,Tongoy Balsa CMET,041,
FJEDDY,Fray Jorge Eddy,-30.657,-71.665,230,Fray Jorge Eddy,043,
PNB,Peñablanca,-30.9005638,-71.55375,370,Peñablanca,043,
CNSD,Senda Darwin[IEB],-41.884999974569,-73.672061665853,70,Senda Darwin[IEB],Chiloe,
CT,Caleta El Toro,-30.740433311462,-71.700399971008,23,Caleta El Toro,043,
PLV,Punta Lengua de Vaca,-30.244859,-71.633063,17,Punta Lengua de Vaca,041,
LLH,Llanos de Huanta,-29.827418,-70.354471,1696,Llanos de Huanta,041,
EPLV,El Polvo,-31.183136,-70.584798,2561,El Polvo,043,
TPF,El Tapado,-30.1583,-69.908179,4306,El Tapado,041,
LAGHU,Laguna Hurtado,-30.509027,-70.445937,2500,Laguna Hurtado,043,
INIA74,Camarico [INIA],-30.701065,-71.325958,248,Camarico [INIA],043,
LCOSL,Las Cruces [OSL],-33.5012407,-71.6338112,0,Las Cruces [OSL],,
LMBT,Los Molles [Bocatoma],-30.745997,-70.419232,2543,Los Molles [Bocatoma],043,
CNPW,Puerto Williams [OMORA][IEB],-54.932084973653,-67.615186691284,10,Puerto Williams [OMORA][IEB],Antartica Chilena,
MET3LA,La Arena,-28.911435000102,-70.27848666509,1209,La Arena,033,
PAGN,Paso Agua Negra,-30.190704,-69.82553,4774,Paso Agua Negra,041,
MET3LH,La Huerta [ULS],-28.776424980164,-70.473333326976,872,La Huerta [ULS],033,
MET3CH,Chiguinto,-28.834758313497,-70.329775015513,1063,Chiguinto,033,
RLCV,Seno Reloncaví [Imar],-41.63638333,-72.8344833,0,Seno Reloncaví [Imar],Llanquihue,
TRT,Tortel,-47.80361,-73.54117,0,Tortel,Capitan Prat,
MET3SF,San Felix,-28.94014,-70.45712,1222,San Felix,033,
PC,Punta Colorada,-29.3541129,-71.0328595,379,Punta Colorada,041,
DICHA,Dichato,-36.54483,-72.932677,0,Dichato,Concepcion,
MET3LP,La Pampa,-28.974833361308,-70.220050001144,1363,La Pampa,033,
SALH,Salar de Huasco,-20.257044,-68.872686,3804,Salar de Huasco,Iquique,
PYRV,Rivadavia,-29.96173,-70.539081,900,Rivadavia,041,
PICH,Pichidangui,-32.131056,-71.53137,40,Pichidangui,042,
RPN_DGA,RapaNui [DGA],-27.11944,-109.354722,0,RapaNui [DGA],Isla de Pascua,
HUAL,Hualtatas,-31.707322,-70.525002,3632,Hualtatas,042,
BK,Canal Baker/Irene [Boya],-47.77,-74.0152,0,Canal Baker/Irene [Boya],Capitan Prat,
TQ,Tres Quebradas,-31.47222,-70.613486,2812,Tres Quebradas,042,
MARIP,Islote Pájaros,-29.5851,-71.5375,39,Islote Pájaros,041,
TRQ,Tranquilla,-31.9515659,-70.70291832,2284,Tranquilla,042,
VILU,Vilupulli,-42.600003,-73.779728,1,Vilupulli,Chiloe,
QUIQ,Quiquel,-42.36529,-73.583414,1,Quiquel,Chiloe,
MET3LM,La Mesilla,-28.836738332113,-70.435423342387,961,La Mesilla,033,
MET3RM,Ramadilla,-28.77159169515,-70.436681652069,880,Ramadilla,033,
CNPP,Punta Patache[IEB],-20.842008336385,-70.136405499776,858,Punta Patache[IEB],Iquique,
VLL,Vallenar,-28.567651,-70.742312,526,Vallenar,033,
PUY,Puyuhuapi,-44.5877,-72.739,0,Puyuhuapi,Aysen,
CRN,Caren,-30.853979,-70.773119,714,Caren,043,
LB,Cochamó [LOBO],-41.495833,-72.308888,0,Cochamó [LOBO],101,
CHPL,Punta Lobos,-28.297649987539,-71.178166659673,1,Punta Lobos,033,
CHLC,Las Cañas 2,-31.735799980164,-71.219350004196,586,Las Cañas 2,042,
