#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:40:06
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:40:08, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
ALG,ALGTA,Temperatura del Aire,°C,2,2026-08-06 14:00:00,
ALG,ALGHR,Humedad Relativa,%,2,2026-08-06 14:00:00,
ALG,ALGVV5,Velocidad de Viento,m/s,5,2026-08-06 14:00:00,
ALG,ALGRS,Radiación Solar,W/m²,2,2026-08-06 14:00:00,
ALG,ALGRPAR,Radiación PAR,W/m²,2,2026-08-06 14:00:00,
ALG,ALGPA,Presión Atmosférica,hPa,2,2026-08-06 14:00:00,
ALG,ALGPP,Precipitación,mm,1.5,2026-08-06 14:00:00,
ALG,ALGset0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
ALG,ALGsufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
ALG,ALGsgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
ALG,ALGshf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
