#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:37:57
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:37:59, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
CGR,CGRTA2,Temperatura del Aire,°C,2,2026-08-08 01:00:00,
CGR,CGRHR2,Humedad Relativa,%,2,2026-08-08 01:00:00,
CGR,CGRVV5,Velocidad de Viento,m/s,5,2026-08-08 01:00:00,
CGR,CGRVV10,Velocidad de Viento,m/s,10,2026-08-08 01:00:00,
CGR,CGRDV5,Dirección de viento,°,5,2026-08-08 01:00:00,
CGR,CGRDV10,Dirección de viento,°,10,2026-08-08 01:00:00,
CGR,CGRRS,Radiación Solar,W/m²,2,2026-08-08 01:00:00,
CGR,CGRPP,Precipitación,mm,1.5,2026-08-08 01:00:00,
CGR,CGRset0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
CGR,CGRPR,Punto de Rocío,°C,2,2026-08-08 01:00:00,
CGR,CGRPPAN,Agua Colectada,ml,0,2026-08-08 01:00:00,
CGR,CGRshf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
CGR,CGRsgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
CGR,CGRsufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
CGR,CGRBT,Batería,V,1.5,2026-08-08 01:00:00,
