#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:44:14
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:44:16, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
COMB,COMBTA,Temperatura del Aire,°C,1.5,2026-08-08 01:00:00,
COMB,COMBHR,Humedad Relativa,%,1.5,2026-08-08 01:00:00,
COMB,COMBVV,Velocidad de Viento,m/s,5,2026-08-08 01:00:00,
COMB,COMBDV,Dirección de viento,°,5,2026-08-08 01:00:00,
COMB,COMBRS,Radiación Solar,W/m²,2,2026-08-08 01:00:00,
COMB,COMBRS2,Radiación Solar,W/m²,3,2026-08-08 01:00:00,
COMB,COMBPA,Presión Atmosférica,hPa,2,2026-08-08 01:00:00,
COMB,COMBRSDIF,Radiacion Solar Difusa,W/m²,3,2026-08-08 01:00:00,
COMB,COMBPP,Precipitación,mm,1.5,2026-08-08 01:00:00,
COMB,COMBRSDIR,Radiacion Solar Directa,W/m²,3,2026-08-08 01:00:00,
COMB,COMBTS2,Temperatura de Suelo,°C,-0.5,2026-08-08 01:00:00,
COMB,COMBTS1,Temperatura de Suelo,°C,-0.1,2026-08-08 01:00:00,
COMB,COMBset0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
COMB,COMBPR,Punto de Rocío,°C,1.5,2026-08-08 01:00:00,
COMB,COMBsufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
COMB,COMBshf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
COMB,COMBsgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
COMB,COMBROLI,Radiación Onda Larga Incidente,W/m²,3,2026-08-08 01:00:00,
COMB,COMBBT,Batería,V,1.5,2026-08-08 01:00:00,
