#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:46:42
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:46:44, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
INIA221,INIA40484,Temperatura del Aire,°C,1.5,2026-08-08 01:00:00,
INIA221,INIA40487,Humedad Relativa,%,1.5,2026-08-08 01:00:00,
INIA221,INIA40495,Velocidad de Viento,m/s,2,2026-08-08 01:00:00,
INIA221,INIA40497,Dirección de viento,°,2,2026-08-08 01:00:00,
INIA221,INIA40490,Radiación Solar,W/m²,2,2026-08-08 01:00:00,
INIA221,INIA40498,Presión Atmosférica,hPa,2,2026-08-08 01:00:00,
INIA221,INIA40494,Precipitación,mm,1.5,2026-08-08 01:00:00,
INIA221,INIA40502,Temperatura de Suelo,°C,-0.1,2018-06-07 06:45:00,
INIA221,INIA40499,Temperatura de Suelo,°C,-0.01,2021-07-01 11:00:00,
INIA221,INIA221set0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
INIA221,INIA221sufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
INIA221,INIA221shf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
INIA221,INIA221sgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
