#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:41:31
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:41:33, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
LCAR,LCARTA,Temperatura del Aire,°C,1.5,2026-08-08 01:00:00,
LCAR,LCARHR,Humedad Relativa,%,1.5,2026-08-08 01:00:00,
LCAR,LCARVV2,Velocidad de Viento,m/s,2,2026-08-08 01:00:00,
LCAR,LCARVV5,Velocidad de Viento,m/s,5,2026-08-08 01:00:00,
LCAR,LCARDV2,Dirección de viento,°,2,2026-08-08 01:00:00,
LCAR,LCARDV5,Dirección de viento,°,5,2026-08-08 01:00:00,
LCAR,LCARRP,Radiación PAR,umol/m²*s,2,2026-08-08 01:00:00,
LCAR,LCARRS,Radiación Solar,W/m²,2,2020-06-30 13:25:00,
LCAR,LCARPA,Presión Atmosférica,hPa,2,2026-08-08 01:00:00,
LCAR,LCARPP,Precipitación,mm,1.5,2026-08-08 01:00:00,
LCAR,LCARTS2,Temperatura de Suelo,°C,-0.5,2026-08-08 01:00:00,
LCAR,LCARTS1,Temperatura de Suelo,°C,-0.1,2026-08-08 01:00:00,
LCAR,LCARset0,Evapotranspiración,mm,0.1,2021-06-10 00:00:00,
LCAR,LCARPTR,Punto de Rocío,°C,2,2026-08-08 01:00:00,
LCAR,LCARsufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
LCAR,LCARsgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
LCAR,LCARshf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
LCAR,LCARBT,Batería,V,1.5,2026-08-08 01:00:00,
