#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:40:28
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:40:30, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
PYRV,PYRVTA,Temperatura del Aire,°C,1.5,2021-01-28 10:00:00,
PYRV,PYRVHR,Humedad Relativa,%,1.5,2021-01-28 10:00:00,
PYRV,PYRVVV,Velocidad de Viento,m/s,2,2021-01-28 10:00:00,
PYRV,PYRVDV,Dirección de viento,°,2,2021-01-28 10:00:00,
PYRV,PYRVRP,Radiación PAR,umol/m²*s,2,2021-01-28 10:00:00,
PYRV,PYRVRS,Radiación Solar,W/m²,2,2021-01-28 10:00:00,
PYRV,PYRVPP,Precipitación,mm,1.5,2021-01-28 10:00:00,
PYRV,PYRVTS1,Temperatura de Suelo,°C,-0.2,2020-10-27 09:45:00,
PYRV,PYRVTS2,Temperatura de Suelo,°C,-0.1,2021-01-28 10:00:00,
PYRV,PYRVset0,Evapotranspiración,mm,0.1,2021-01-27 00:00:00,
PYRV,PYRVsufu,Unidades de Frio Utah,hf,2,2021-01-28 10:00:00,
PYRV,PYRVshf7,Horas Frio Base 7,hf,2,2021-01-27 00:00:00,
PYRV,PYRVsgd10,Grados Dia Base 10,gd,2,2021-01-27 00:00:00,
PYRV,PYRVBT,Batería,V,1.5,2021-01-28 10:00:00,
