#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:47:06
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:47:08, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
RLCV,RLCVMETTA,Temperatura del Aire,°C,2,2023-06-29 17:20:00,
RLCV,RLCVMETHR,Humedad Relativa,%,2,2023-06-29 17:20:00,
RLCV,RLCVMETVV,Velocidad de Viento,m/s,2,2023-06-29 17:20:00,
RLCV,RLCVMETDV,Dirección de viento,°,2,2023-06-29 17:20:00,
RLCV,RLCVMETPA,Presión Atmosférica,hPa,2,2023-06-29 17:20:00,
RLCV,RLCVMETPP,Precipitación,mm,1.5,2023-06-29 17:20:00,
RLCV,RLCVCTDPH,Ph,U,-7,2023-06-29 17:20:00,
RLCV,RLCVCTDSAL,Salinidad del agua,psu,-7,2023-06-29 17:20:00,
RLCV,RLCVCTDCND,Conductividad,uS/cm,-7,2023-06-29 17:20:00,
RLCV,RLCVCTDTAG,Temperatura del Agua,°C,-7,2023-06-29 17:20:00,
RLCV,RLCVDC60,Direccion de la Corriente,°,-126,2023-01-25 10:49:10,
RLCV,RLCVDC59,Direccion de la Corriente,°,-124,2023-01-25 10:49:10,
RLCV,RLCVDC58,Direccion de la Corriente,°,-122,2023-01-25 10:49:10,
RLCV,RLCVDC57,Direccion de la Corriente,°,-120,2023-01-25 10:49:10,
RLCV,RLCVDC56,Direccion de la Corriente,°,-118,2023-01-25 10:49:10,
RLCV,RLCVDC55,Direccion de la Corriente,°,-116,2023-01-25 10:49:10,
RLCV,RLCVDC54,Direccion de la Corriente,°,-114,2023-01-25 10:49:10,
RLCV,RLCVDC53,Direccion de la Corriente,°,-112,2023-01-25 10:49:10,
RLCV,RLCVDC52,Direccion de la Corriente,°,-110,2023-01-25 10:49:10,
RLCV,RLCVDC51,Direccion de la Corriente,°,-108,2023-01-25 10:49:10,
RLCV,RLCVDC50,Direccion de la Corriente,°,-106,2023-01-25 10:49:10,
RLCV,RLCVDC49,Direccion de la Corriente,°,-104,2023-01-25 10:49:10,
RLCV,RLCVDC48,Direccion de la Corriente,°,-102,2023-01-25 10:49:10,
RLCV,RLCVDC47,Direccion de la Corriente,°,-100,2023-01-25 10:49:10,
RLCV,RLCVDC46,Direccion de la Corriente,°,-98,2023-01-25 10:49:10,
RLCV,RLCVDC45,Direccion de la Corriente,°,-96,2023-01-25 10:49:10,
RLCV,RLCVDC44,Direccion de la Corriente,°,-94,2023-01-25 10:49:10,
RLCV,RLCVDC43,Direccion de la Corriente,°,-92,2023-01-25 10:49:10,
RLCV,RLCVDC42,Direccion de la Corriente,°,-90,2023-01-25 10:49:10,
RLCV,RLCVDC41,Direccion de la Corriente,°,-88,2023-01-25 10:49:10,
RLCV,RLCVDC40,Direccion de la Corriente,°,-86,2023-01-25 10:49:10,
RLCV,RLCVDC39,Direccion de la Corriente,°,-84,2023-01-25 10:49:10,
RLCV,RLCVDC38,Direccion de la Corriente,°,-82,2023-01-25 10:49:10,
RLCV,RLCVDC37,Direccion de la Corriente,°,-80,2023-01-25 10:49:10,
RLCV,RLCVDC36,Direccion de la Corriente,°,-78,2023-01-25 10:49:10,
RLCV,RLCVDC35,Direccion de la Corriente,°,-76,2023-01-25 10:49:10,
RLCV,RLCVDC34,Direccion de la Corriente,°,-74,2023-01-25 10:49:10,
RLCV,RLCVDC33,Direccion de la Corriente,°,-72,2023-01-25 10:49:10,
RLCV,RLCVDC32,Direccion de la Corriente,°,-70,2023-01-25 10:49:10,
RLCV,RLCVDC31,Direccion de la Corriente,°,-68,2023-01-25 10:49:10,
RLCV,RLCVDC30,Direccion de la Corriente,°,-66,2023-01-25 10:49:10,
RLCV,RLCVDC29,Direccion de la Corriente,°,-64,2023-01-25 10:49:10,
RLCV,RLCVDC28,Direccion de la Corriente,°,-62,2023-01-25 10:49:10,
RLCV,RLCVDC27,Direccion de la Corriente,°,-60,2023-01-25 10:49:10,
RLCV,RLCVDC26,Direccion de la Corriente,°,-58,2023-01-25 10:49:10,
RLCV,RLCVDC25,Direccion de la Corriente,°,-56,2023-01-25 10:49:10,
RLCV,RLCVDC24,Direccion de la Corriente,°,-54,2023-01-25 10:49:10,
RLCV,RLCVDC23,Direccion de la Corriente,°,-52,2023-01-25 10:49:10,
RLCV,RLCVDC22,Direccion de la Corriente,°,-50,2023-01-25 10:49:10,
RLCV,RLCVDC21,Direccion de la Corriente,°,-48,2023-01-25 10:49:10,
RLCV,RLCVDC20,Direccion de la Corriente,°,-46,2023-01-25 10:49:10,
RLCV,RLCVDC19,Direccion de la Corriente,°,-44,2023-01-25 10:49:10,
RLCV,RLCVDC18,Direccion de la Corriente,°,-42,2023-01-25 10:49:10,
RLCV,RLCVDC17,Direccion de la Corriente,°,-40,2023-01-25 10:49:10,
RLCV,RLCVDC16,Direccion de la Corriente,°,-38,2023-01-25 10:49:10,
RLCV,RLCVDC15,Direccion de la Corriente,°,-36,2023-01-25 10:49:10,
RLCV,RLCVDC14,Direccion de la Corriente,°,-34,2023-01-25 10:49:10,
RLCV,RLCVDC13,Direccion de la Corriente,°,-32,2023-01-25 10:49:10,
RLCV,RLCVDC12,Direccion de la Corriente,°,-30,2023-01-25 10:49:10,
RLCV,RLCVDC11,Direccion de la Corriente,°,-28,2023-01-25 10:49:10,
RLCV,RLCVDC10,Direccion de la Corriente,°,-26,2023-01-25 10:49:10,
RLCV,RLCVDC09,Direccion de la Corriente,°,-24,2023-01-25 10:49:10,
RLCV,RLCVDC08,Direccion de la Corriente,°,-22,2023-01-25 10:49:10,
RLCV,RLCVDC07,Direccion de la Corriente,°,-20,2023-01-25 10:49:10,
RLCV,RLCVDC06,Direccion de la Corriente,°,-18,2023-01-25 10:49:10,
RLCV,RLCVDC05,Direccion de la Corriente,°,-16,2023-01-25 10:49:10,
RLCV,RLCVDC04,Direccion de la Corriente,°,-14,2023-01-25 10:49:10,
RLCV,RLCVDC03,Direccion de la Corriente,°,-12,2023-01-25 10:49:10,
RLCV,RLCVDC02,Direccion de la Corriente,°,-10,2023-01-25 10:49:10,
RLCV,RLCVDC01,Direccion de la Corriente,°,-8,2023-01-25 10:49:10,
RLCV,RLCVCTDCLF,Fluorescencia,V,-7,2023-06-29 17:20:00,
RLCV,RLCVCTDTUR,Turbidez,NTU,-7,2023-06-29 17:20:00,
RLCV,RLCVCTDPS,Presion,m,-7,2023-06-29 17:20:00,
RLCV,RLCVCORDIR,Direccion de la Corriente,°,-7,2018-09-17 01:13:56,
RLCV,RLCVVC60,Velocidad de la Corriente,m/s,-126,2023-01-25 10:49:10,
RLCV,RLCVVC59,Velocidad de la Corriente,m/s,-124,2023-01-25 10:49:10,
RLCV,RLCVVC58,Velocidad de la Corriente,m/s,-122,2023-01-25 10:49:10,
RLCV,RLCVVC57,Velocidad de la Corriente,m/s,-120,2023-01-25 10:49:10,
RLCV,RLCVVC56,Velocidad de la Corriente,m/s,-118,2023-01-25 10:49:10,
RLCV,RLCVVC55,Velocidad de la Corriente,m/s,-116,2023-01-25 10:49:10,
RLCV,RLCVVC54,Velocidad de la Corriente,m/s,-114,2023-01-25 10:49:10,
RLCV,RLCVVC53,Velocidad de la Corriente,m/s,-112,2023-01-25 10:49:10,
RLCV,RLCVVC52,Velocidad de la Corriente,m/s,-110,2023-01-25 10:49:10,
RLCV,RLCVVC51,Velocidad de la Corriente,m/s,-108,2023-01-25 10:49:10,
RLCV,RLCVVC50,Velocidad de la Corriente,m/s,-106,2023-01-25 10:49:10,
RLCV,RLCVVC49,Velocidad de la Corriente,m/s,-104,2023-01-25 10:49:10,
RLCV,RLCVVC48,Velocidad de la Corriente,m/s,-102,2023-01-25 10:49:10,
RLCV,RLCVVC47,Velocidad de la Corriente,m/s,-100,2023-01-25 10:49:10,
RLCV,RLCVVC46,Velocidad de la Corriente,m/s,-98,2023-01-25 10:49:10,
RLCV,RLCVVC45,Velocidad de la Corriente,m/s,-96,2023-01-25 10:49:10,
RLCV,RLCVVC44,Velocidad de la Corriente,m/s,-94,2023-01-25 10:49:10,
RLCV,RLCVVC43,Velocidad de la Corriente,m/s,-92,2023-01-25 10:49:10,
RLCV,RLCVVC42,Velocidad de la Corriente,m/s,-90,2023-01-25 10:49:10,
RLCV,RLCVVC41,Velocidad de la Corriente,m/s,-88,2023-01-25 10:49:10,
RLCV,RLCVVC40,Velocidad de la Corriente,m/s,-86,2023-01-25 10:49:10,
RLCV,RLCVVC39,Velocidad de la Corriente,m/s,-84,2023-01-25 10:49:10,
RLCV,RLCVVC38,Velocidad de la Corriente,m/s,-82,2023-01-25 10:49:10,
RLCV,RLCVVC37,Velocidad de la Corriente,m/s,-80,2023-01-25 10:49:10,
RLCV,RLCVVC36,Velocidad de la Corriente,m/s,-78,2023-01-25 10:49:10,
RLCV,RLCVVC35,Velocidad de la Corriente,m/s,-76,2023-01-25 10:49:10,
RLCV,RLCVVC34,Velocidad de la Corriente,m/s,-74,2023-01-25 10:49:10,
RLCV,RLCVVC33,Velocidad de la Corriente,m/s,-72,2023-01-25 10:49:10,
RLCV,RLCVVC32,Velocidad de la Corriente,m/s,-70,2023-01-25 10:49:10,
RLCV,RLCVVC31,Velocidad de la Corriente,m/s,-68,2023-01-25 10:49:10,
