#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:43:29
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-08-01 00:00:00, end_date: 2026-08-08 01:43:31, gmt: gmt-4
#e_cod,s_cod,tf_nombre,um_notacion,s_altura,s_ultima_lectura,
RPL,RPLTA,Temperatura del Aire,°C,2,2026-08-08 01:00:00,
RPL,RPLHR,Humedad Relativa,%,2,2026-08-08 01:00:00,
RPL,RPLVV5,Velocidad de Viento,m/s,5,2026-08-08 01:00:00,
RPL,RPLDV5,Dirección de viento,°,5,2026-08-08 01:00:00,
RPL,RPLRS,Radiación Solar,W/m²,2,2026-08-08 01:00:00,
RPL,RPLPA,Presión Atmosférica,hPa,2,2026-08-08 01:00:00,
RPL,RPLPP,Precipitación,mm,1.5,2026-08-08 01:00:00,
RPL,RPLset0,Evapotranspiración,mm,0.1,2026-08-05 00:00:00,
RPL,RPLPR,Punto de Rocío,°C,1.5,2026-08-08 01:00:00,
RPL,RPLsufu,Unidades de Frio Utah,hf,2,2026-08-05 23:00:00,
RPL,RPLsgd10,Grados Dia Base 10,gd,2,2026-08-05 00:00:00,
RPL,RPLshf7,Horas Frio Base 7,hf,2,2026-08-05 00:00:00,
RPL,RPLBT,Batería,V,1.5,2026-08-08 01:00:00,
