#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:38:45
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: 15, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
15,2026-07-01 00:00:00,0,0,0,100
15,2026-07-02 00:00:00,0.1,0.1,0.1,100
15,2026-07-03 00:00:00,0,0,0,100
15,2026-07-04 00:00:00,0,0,0,100
15,2026-07-05 00:00:00,0,0,0,100
15,2026-07-06 00:00:00,0.2,0.2,0.2,100
15,2026-07-07 00:00:00,0.1,0.1,0.1,100
15,2026-07-08 00:00:00,0,0,0,100
15,2026-07-09 00:00:00,0.1,0.1,0.1,100
15,2026-07-10 00:00:00,0,0,0,100
15,2026-07-11 00:00:00,0,0,0,100
15,2026-07-12 00:00:00,0,0,0,100
15,2026-07-13 00:00:00,0,0,0,100
15,2026-07-14 00:00:00,0,0,0,100
15,2026-07-15 00:00:00,0,0,0,100
15,2026-07-16 00:00:00,24,24,24,100
15,2026-07-17 00:00:00,33.4,33.4,33.4,100
15,2026-07-18 00:00:00,56.1,56.1,56.1,100
15,2026-07-19 00:00:00,53.4,53.4,53.4,100
15,2026-07-20 00:00:00,0.8,0.8,0.8,100
