#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:41:13
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: ANDAPP, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
ANDAPP,2026-07-01 00:00:00,0,0,0,100
ANDAPP,2026-07-02 00:00:00,0,0,0,100
ANDAPP,2026-07-03 00:00:00,0,0,0,100
ANDAPP,2026-07-04 00:00:00,0,0,0,100
ANDAPP,2026-07-05 00:00:00,0,0,0,100
ANDAPP,2026-07-06 00:00:00,0,0,0,100
ANDAPP,2026-07-07 00:00:00,0,0,0,100
ANDAPP,2026-07-08 00:00:00,0,0,0,100
ANDAPP,2026-07-09 00:00:00,0,0,0,100
ANDAPP,2026-07-10 00:00:00,0,0,0,100
ANDAPP,2026-07-11 00:00:00,0,0,0,100
ANDAPP,2026-07-12 00:00:00,0,0,0,100
ANDAPP,2026-07-13 00:00:00,0,0,0,100
ANDAPP,2026-07-14 00:00:00,0,0,0,100
ANDAPP,2026-07-15 00:00:00,0,0,0,100
ANDAPP,2026-07-16 00:00:00,15.5,15.5,15.5,100
ANDAPP,2026-07-17 00:00:00,52,52,52,100
ANDAPP,2026-07-18 00:00:00,67.25,67.25,67.25,100
ANDAPP,2026-07-19 00:00:00,52.25,52.25,52.25,100
ANDAPP,2026-07-20 00:00:00,58.25,58.25,58.25,100
