#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:45:11
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-11, end_date: 2026-07-20, sensor_code: CHLCPP, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
CHLCPP,2026-07-11 00:00:00,,,,0
CHLCPP,2026-07-12 00:00:00,,,,0
CHLCPP,2026-07-13 00:00:00,,,,0
CHLCPP,2026-07-14 00:00:00,,,,0
CHLCPP,2026-07-15 00:00:00,,,,0
CHLCPP,2026-07-16 00:00:00,,,,0
CHLCPP,2026-07-17 00:00:00,,,,0
CHLCPP,2026-07-18 00:00:00,,,,0
CHLCPP,2026-07-19 00:00:00,,,,0
CHLCPP,2026-07-20 00:00:00,,,,0
