#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:44:39
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: INILLAPP, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
INILLAPP,2026-07-01 00:00:00,0,0,0,100
INILLAPP,2026-07-02 00:00:00,0,0,0,100
INILLAPP,2026-07-03 00:00:00,0,0,0,100
INILLAPP,2026-07-04 00:00:00,0,0,0,100
INILLAPP,2026-07-05 00:00:00,0,0,0,100
INILLAPP,2026-07-06 00:00:00,0,0,0,100
INILLAPP,2026-07-07 00:00:00,0,0,0,100
INILLAPP,2026-07-08 00:00:00,0,0,0,100
INILLAPP,2026-07-09 00:00:00,0,0,0,100
INILLAPP,2026-07-10 00:00:00,0,0,0,100
INILLAPP,2026-07-11 00:00:00,0,0,0,100
INILLAPP,2026-07-12 00:00:00,0,0,0,100
INILLAPP,2026-07-13 00:00:00,0,0,0,100
INILLAPP,2026-07-14 00:00:00,0,0,0,100
INILLAPP,2026-07-15 00:00:00,0,0,0,100
INILLAPP,2026-07-16 00:00:00,19.8,19.8,19.8,100
INILLAPP,2026-07-17 00:00:00,76.3,76.3,76.3,100
INILLAPP,2026-07-18 00:00:00,60.1,60.1,60.1,100
INILLAPP,2026-07-19 00:00:00,20.9,20.9,20.9,100
INILLAPP,2026-07-20 00:00:00,29.2,29.2,29.2,100
