#Datos provistos por CEAZA a traves del sistema CEAZA-Met, generados el:2026-08-08 01:43:32
#Para consultas, contactar con Cristian Orrego al mail cristian.orrego@ceaza.cl.
#Revisar condiciones de uso en www.ceazamet.cl
#Params , start_date: 2026-07-01, end_date: 2026-07-20, sensor_code: RPLPP, gmt: gmt-4
#s_cod,ultima_lectura,min,prom,max,data_pc
RPLPP,2026-07-01 00:00:00,0,0,0,100
RPLPP,2026-07-02 00:00:00,0,0,0,100
RPLPP,2026-07-03 00:00:00,0,0,0,100
RPLPP,2026-07-04 00:00:00,0,0,0,100
RPLPP,2026-07-05 00:00:00,0,0,0,100
RPLPP,2026-07-06 00:00:00,0,0,0,100
RPLPP,2026-07-07 00:00:00,0,0,0,100
RPLPP,2026-07-08 00:00:00,0,0,0,100
RPLPP,2026-07-09 00:00:00,0,0,0,100
RPLPP,2026-07-10 00:00:00,0,0,0,100
RPLPP,2026-07-11 00:00:00,0,0,0,100
RPLPP,2026-07-12 00:00:00,0,0,0,100
RPLPP,2026-07-13 00:00:00,0,0,0,100
RPLPP,2026-07-14 00:00:00,0,0,0,100
RPLPP,2026-07-15 00:00:00,0,0,0,100
RPLPP,2026-07-16 00:00:00,31.75,31.75,31.75,100
RPLPP,2026-07-17 00:00:00,54.102,54.102,54.102,100
RPLPP,2026-07-18 00:00:00,91.186,91.186,91.186,100
RPLPP,2026-07-19 00:00:00,51.562,51.562,51.562,100
RPLPP,2026-07-20 00:00:00,25.654,25.654,25.654,100
